Αἰάκης	Æakès, (h.)
Πατρόκλεια	la mort de Patrocle, ~chant de l'Iliade
Παυλῖνος	Paulinus, (h. rom.)
Παφλαγονικός	de Paphlagonie
Παύσιρις	Pausiris, (h.)
Παύσων	Pausôn
Παῦλος	Paul
Πείραιος	Peiræos, (h.)
Πείρας	ce qui donne à une chose son achèvement
Πείρασος	Peirasos, (h.)
Πείρη	épreuve
Πείροος	Peiroos, (h.)
Πείρως	Peiroos, (h.)
Πείσανδρος	Peisandros, (h.)
Πείσις	affection ; affection de l'âme, passion
Πείσων	Peisôn ; Pison
Πεδάριτος	Pédaritos
Πεδιεύς	habitant ou originaire de la tribu Pédiade
Πειθίας	Peithias, (h.)
Πειθαγόρης	Peithagorès, (h.)
Πειρήνη	Peirènè (auj. Piríni)
Πειρίθοος	Peirithoos (Pirithoüs)
Πειραΐδης	le fils de Peiræos
Πειραιοῖ	dans le Pirée
Πεισήνωρ	Peisènôr
Πεισίστρατος	Peisistratos (Pisistrate)
Πεισηνορίδης	fils de Peisènôr
Πεισιδίκη	Peisidikè, (f.)
Πεισινόη	Peisinoè, (f.)
Πελάγων	Pélagôn, (h.)
Πελίης	Pélias
Πελαγαῖος	de la pleine mer ; de la mer
Πελασγίη	Pélasgie
Πελασγίς	fém. de Πελασγικός (Pélasgique, Argien)
Πελασγιάς	des Pélasges, pélasgique ; d'Argos, Argien
Πελασγικός	des Pélasges, pélasgique ; d'Argos, Argien
Πελασγιῶτις	pélasgique ou grec
Πελασγός	des Pélasges ; Pélasgos, (h.)
Πελλήνη	Pellènè (v.)
Πελληνή	Pellènè (v.)
Πελοπίδης	fils ou descendant de Pélops (Agamemnon)
Πελοπεία	Pélopeia
Πελοποννασιστί	dans la langue du Péloponnèse
Πελοποννησιακός	du Péloponnèse
Πελόπιον	temple de Pélops
Πενθίλος	Penthilos, (h.)
Πενθεσιλεία	Penthésileia
Πενθεύς	Penthée
Πενθύλος	Penthylos, (h.)
Πεντελικός	du dème Pentélè
Πεπάρηθος	Péparèthos (auj. Skópelos) (île)
Πεπρωμένη	l’arrêt du destin
Περίαλλα	Périalla
Περίανδρος	Périandros (Périandre)
Περίβοια	Péribœa, (f.)
Περίκλειτος	Périkleitos
Περίκλυτος	renommé alentour, illustre
Περίλαος	Périlaos
Περίλεως	Périlaos
Περίφας	Périphas, (h.)
Περαιβοί	les Perrhæbes
Περγαμία	territoire de Pergame
Περγαμηνός	de Pergame
Περγασίδης	fils de Pergasos
Περγασῆσι	dans le dème Pergasè
Περιήρης	Périèrès
Περικλέης	Périclès
Περικλείδης	Périkleidès, (h.)
Περικλύμενος	Périklyménos
Περιμήδης	Périmèdès, (h.)
Περισθένης	qui a une force supérieure, irrésistible
Περιφήτης	Périphètès
Περκώσιος	habitant ou originaire de Perkôtè
Περσαῖος	Persæos (Persée)
Περσείδης	fils ou descendant de Persée
Περσεφόνεια	Perséphonè ils sont sortis ; ainsi Korè est entraînée par Hadès, le dieu du monde souterrain, et devenue son épouse elle prend le nom de Perséphonè
Περσεφόνη	Perséphonè ils sont sortis ; ainsi Korè est entraînée par Hadès, le dieu du monde souterrain, et devenue son épouse elle prend le nom de Perséphonè
Περσεῖος	de Persée
Περσονόμος	qui commande aux Perses
Περφερέες	nom des cinq députés qui accompagnèrent à Dèlos les jeunes Hyperboréennes
Πετεών	Pétéôn
Πετεώς	Pétéôs, (h.)
Πετραία	Petræa
Πετραχός	Pétrakhos
Πετρώνιος	Petronius, (h. rom.)
Πετόσιρις	Pétosiris
Πευκέστης	Peukestès
Πεφρηδώ	Péphrèdô
Πεῖρος	Peiros
Πηγάσειος	de Pégase
Πηγαί	Pèges, « les Sources »
Πηγασὶς	la fontaine de Pégase, Hippocrène
Πηλείδης	le fils de Pélée (Achille)
Πηλείων	Pèlée, (qui vit dans la boue, n. de rat)
Πηλεγών	Pèlégôn, (h.)
Πηληϊάδης	le fils de Pélée (Achille)
Πηλιακός	du Pélion
Πηλιωτικός	du Pélion
Πηλιῶτις	du Pélion
Πηλουσιώτης	habitant de Péluse
Πηνέλεως	Pènéléôs
Πηνειός	le Pénée (auj. Piniós ou Salambriás) (fl.)
Πηνελόπεια	Pènélopè (Pénélope)
Πηνελόπη	Pènélopè (Pénélope)
Πηρείη	Pèreia
Πηρώ	Pèrô
Πιδύτης	Pidytès
Πιερίδες	les Muses
Πιερίηθεν	de Piérie
Πιερίς	de Piérie
Πιερικός	de Piérie
Πινάριος	Pīnārius, (h. rom.)
Πινδαρικός	???? Renvoi sans Issue ????
Πιξώδαρος	Pixôdaros, (h.)
Πισάτης	de Pisa
Πισαῖοι	les habitants de Pisa
Πισαῖος	de Pisa
Πισσούθνης	Pissouthnès
Πισᾶτις	de Pisa
Πιτάνη	Pitanè
Πιτανάτης	habitant de Pitanè
Πιτανᾶτις	de Pitanè
Πιτθεύς	habitant ou originaire du dème Pitthée
Πιττακός	Pittakos
Πιτυοῦσσα	abondant en pins
Πιτύεια	Pityeia
Πλάκος	Plakos
Πλαγκταί	les Roches errantes
Πλαθάνη	Plathanè, (f.)
Πλακίη	Plakia, (v.)
Πλατάνιος	de platane
Πλαταιεῖς	les Platéens
Πλαταιικός	de Platée, platéen
Πλατωνικός	de Platon
Πλατώνεια	fête en l'honneur de Platon
Πλατώνειος	de Platon
Πλείστωρος	Pleistôros
Πλεισθένης	Pleisthénès
Πλεισταίνετος	Pleistænetos, (h.)
Πλειστοάναξ	Pleistoanax, (h.)
Πλειστόαναξ	Pleistoanax, (h.)
Πλειστός	Pleistos (auj. Plístos ou Plistós) (fl.)
Πλευρών	Pleurôn (auj. ruines près de Mesókampos) (v.) ; le territoire de Pleurôn
Πλευρώνιος	de Pleurôn
Πληιόνη	Plèionè
Πληξαύρη	Plèxaurè
Πλησίμαχος	Plèsimakhos
Πλουτεύς	Ploutée
Πλουτωνίς	l'épouse de Pluton
Πλουτώ	Ploutô
Πλοῦτων	Ploutôn (Pluton)
Πλωτῖνος	Plotin
Πνυταγόρας	Pnytagoras
Ποίας	Pœante
Ποίμανδρος	Pœmandros
Ποδάργη	Podargè
Ποδάρκης	Podarkès, (h.)
Ποδαλείριος	Podaleirios
Ποδῆς	Podès
Ποιάντιος	de Pœante
Ποικίλης	Pœkilès
Πολέμων	Polémon
Πολίατις	???? Renvoi sans Issue ????
Πολιάδης	Poliadès, (h.)
Πολιοῦχος	qui protège la ville
Πολιᾶτις	???? Renvoi sans Issue ????
Πολυάνθης	Polyanthès, (h.)
Πολυαιμονίδης	le fils de Polyhæmon (Amopaôn)
Πολυβιάδης	Polybiadès, (h.)
Πολυβώτης	Polybôtès, (h.)
Πολυδάμας	Polydamas
Πολυδαμίδας	Polydamidas, (h.)
Πολυδεύκιον	dim. de Πολυδεύκης (Pollux)
Πολυδώρη	Polydôra
Πολυείδης	de différentes sortes, varié
Πολυεύκτος	Polyeuktos (Polyeucte)
Πολυθερσεΐδης	le fils de Polythersès (Ktèsippos)
Πολυκάστη	Polykastè
Πολυκλέης	très célèbre
Πολυκράτης	Polykratès (Polycrate)
Πολυκτορίδης	fils de Polyktôr (Peisandros)
Πολυμήλη	Polymèlè, (f.)
Πολυμήστωρ	Polymèstôr
Πολυνείκης	Polynéikès (Polynice)
Πολυνόμη	Polynomè
Πολυξένη	Polyxènè (Polyxène)
Πολυξώ	Polyxô, (f.)
Πολυπημονίδης	fils de Polypèmôn
Πολυποίτης	Polypœtès
Πολυσπέρχων	Polysperkhôn
Πολυφήτης	Polyphètès
Πολυφείδης	Polypheidès (très économe)
Πολυφράδμων	très sage, très avisé
Πολυφόντης	Polyphontès, (h.)
Πολυχάρης	Polykharès
Πολύας	Polyas, (h.)
Πολύδαμνα	Polydamna, (f.)
Πολύκτωρ	Polyktôr
Πολύμναστος	Polymnèstos
Πολύνηος	Polynèos, (h.)
Πολύξεινος	Polyxénos
Πολύστρατος	Polystratos, (h.)
Πολύϊδος	Polyidos
Πομπήιος	(Pompée)
Πομπώνιος	la famille des Pomponius
Ποντεύς	Pontée, « le marin »
Ποντομεδούσα	Pontomédousa
Ποντοπόρεια	Pontoporeia
Ποντόνοος	Pontonoos
Ποπίλιος	Popilius, (h. rom.)
Ποπίλλιος	Popilius, (h. rom.)
Ποροσελήνη	autre n. de Πορδοσελήνη (Pordosélènè, î.)
Πορφύριος	Porphyrios (Porphyre)
Ποσείδιον	de Poseidôn
Ποσειδωνιάτης	habitant de Pæstum
Ποσειδώνια	Poseidônios, (philos. stoïcien)
Ποσειδώνιον	temple de Poseidôn
Ποσειδῶν	Poseidôn
Ποσιδήιον	de Poseidôn
Ποστούμιος	Postumius, (h. rom.)
Ποτάμων	Potamôn
Ποταμών	Potamôn
Ποτειδαία	Potidée (auj. Néa Potíđea) (v.)
Ποτειδεάτης	habitant de Potidée
Ποτειδεατικός	de Potidée
Ποτιδαία	Potidée (auj. Néa Potíđea) (v.)
Ποτιδαιάτης	habitant de Potidée
Ποτιδαιατικός	de Potidée
Ποτνιεύς	habitant ou originaire de Potnies
Πουλυτίων	Poulytiôn, (h.)
Πούπλιος	Publius, (h. rom.)
Πράκτιος	Praktios (auj. Bargus, Muskakoï) (fl.)
Πράξιλλα	Praxilla
Πρέπις	Prépis, (h.)
Πρίνος	chêne vert, yeuse ; chêne sur lequel vit le kermès (chêne kermès) ; houx
Πρίσκος	Priscus, (h. rom.)
Πραιτέξτατος	vêtu de la toge prétexte
Πραξίς	action ; manière d'agir ou manière d'être ; résultat d'une action, suite, conséquence
Πραξίτας	Praxitas
Πραξιδάμας	Praxidamas, (h.)
Πραξιτέλης	Praxitélès (Praxitèle)
Πρασιαί	Prasies
Πρηξάσπης	Préxaspès
Πριήνη	Priène (auj. ruines près de Güllübahçe) (v.)
Πριαμίδης	fils ou descendant de Priam (Hector)
Πριαμίς	de Priam
Πριαμικός	de Priam, comme de Priam
Πριαμιλλύδριον	dim. de Πρίαμος (Priam)
Πριαπήιον	???? Renvoi sans Issue ????
Πριηνεύς	habitant de Priène
Πρινητάδης	Prinètadès, (h.)
Προθοήνωρ	Prothoènor
Προθόων	Prothoôn
Προκλέης	Proklès
Προκλής	Proklès
Προκοννήσιος	de Prokonnèsos
Προκρούστης	Prokroustès (Procuste)
Προκόννησος	Prokonnèsos (auj. île de Marmara ou Prokónnisos) « Île aux chevreuils »
Προμέδων	Promédôn, (h.)
Προμένεια	Proméneia
Προμαχόρμα	qui s'élance pour combattre devant l'armée ou pour protéger le πρόμαχος
Προνόη	Pronoè
Προξενίδης	Proxénidès, (h.)
Προσώπιτις	l'î. Prosôpitis
Προτιάων	Protiaôn
Προῖτος	Prœtos
Πρυμνεύς	Prymnée
Πρωρεύς	Prôrée
Πρωταγόρας	Protagoras
Πρωτογένης	Protogénès (Protogène)
Πρωτογενεία	Protogéneia
Πρωτοφάνης	qui se montre pour la première fois
Πρόθοος	Prothoos
Πρόκλος	Proculus, (h. rom.)
Πρόκνη	Proknè
Πρόκρις	Prokris
Πρόσχιον	Proskhion, (v.)
Πρώ͂ναξ	Prônax, (h.)
Πτελεόν	Ptéléon
Πτερίη	Ptériè
Πτερνοφάγος	Mange-jambons
Πτοιόδωρος	Ptœodôros, (h.)
Πτολεμαῖος	Ptolemæos (Ptolémée) « le Belliqueux »
Πτολιπόρθης	destructeur de villes
Πτόλις	ville ; réunion des citoyens, cité, État
Πτῶος	Ptôos
Πτῷος	Ptôos
Πυανέψια	la fête des Pyanepsies
Πυανεψιών	Pyanepsiôn, 4e~mois de l'année attique, correspondant à la 2e~moitié d'Octobre et à la 1re de Novembre
Πυανόψια	la fête des Pyanepsies
Πυγμαλίων	Pygmalion
Πυγμαῖοι	les Pygmées
Πυθάγγελος	Pythangélos
Πυθάρατος	Pytharatos, (h.)
Πυθέης	Pythéas, (h.)
Πυθαγόρας	Pythagoras (Pythagore)
Πυθιονίκη	victoire aux jeux Pythiques
Πυθογένης	Pythogénès, (h.)
Πυθοκλείδης	Pythokleidès, (h.)
Πυθονίκη	Pythonikè, (f.)
Πυθωνόθεν	de Python
Πυθόδοτος	Pythodotos
Πυθόδωρος	Pythodôros
Πυθόνικος	&gt; Πυθιόνικος ; Pythonikos, (h.)
Πυθών	Pythô
Πυθῶνάδε	à Python
Πυλάδης	Pyladès (Pylade)
Πυλήνη	Pylènè, (v.)
Πυλαιμένης	Pylæménès
Πυληγενής	né à Pylos
Πυλόνδε	à Pylos
Πυλᾶτις	de Pyles
Πυρήνη	Pyrènè
Πυραίχμης	Pyrækhmès
Πυριλάμπης	Pyrilampès, (h.)
Πυστίλος	Pystilos
Πόλλης	Pollès, (roi)
Πόλλις	Pollis, (h.)
Πόλτυς	Poltys
Πόλυβος	Polybos (Polybe)
Πόλυμνις	Polymnis
Πόμπος	qui conduit, qui transporte
Πόπλιος	Publius, (h. rom.)
Πόρθευς	Porthée
Πόσσις	fiancé ; époux, époux légitime
Πόστουμος	Postumus, (h. rom.)
Πύδνα	Pydna, (v.)
Πύθερμος	Pythermos, (h.)
Πύθης	Pythès, (h.)
Πύλαι	Pyles, « les Portes »
Πύλαιος	de Pyles
Πύλιος	Pylios, (h.)
Πύλος	Pylos (v.)
Πύλων	Pylôn, (h.)
Πύραμος	Pyramos
Πύρασος	Pyrasos, (v.)
Πύρης	Pyrès, (h.)
Πύρις	Pyris
Πύρρανδρος	Pyrrhandros, (h.)
Πύρρος	Pyrrhos (Pyrrhus)
Πῖκος	Picus, (divinité italique)
Πῖσα	Pisa (Pise) (v. d’Élide)
Σάβυλλος	Sabyllos, (h.)
Σάδοκος	Sadokos
Σάις	Saïs (auj. Sa al-Hagar) (v.)
Σάκαι	les Sakes
Σάκων	Sakôn
Σάλαιθος	Salæthos, (h.)
Σάλη	Salè, (v.)
Σάμη	Samè (auj. Kefaloniá, Céphalonie) (île)
Σάμιος	Samios (le Samien) (h.)
Σάμολας	Samolas, (h.)
Σάνδανις	Sandanis
Σάνδιος	la Colline Sandios
Σάνη	Sanè
Σάρδεις	Sardes (auj. Sart)
Σάρτη	Sartè (auj. Sárti) (v.)
Σάτραι	les Satres
Σάων	Saôn, (h.)
Σέλευκος	Séleukos (Séleucus)
Σέλλος	Sellos, (h.)
Σέντιος	Sentius, (h. rom.)
Σέξτιος	de Sextius
Σέξτος	Sextus, (h. rom.)
Σέργιος	Sergius, (h. rom.)
Σέριφος	Sériphos
Σέσωστρις	Sésostris
Σήσαμος	sésame ; grain de sésame
Σήστιος	Sextius, (h. rom.)
Σίγγος	Singos, (v.)
Σίγειον	Sigeion (Sigée, près de Kumkale) (v.)
Σίγυνναι	les Sigynnes
Σίθων	habitant de la Sithônie, Thrace
Σίκιννον	danse de Satyres
Σίκιννος	Sikinnos, (h.)
Σίκων	Sikôn
Σίμυλος	Simylos, (h.)
Σίνδος	Sindos, (v.)
Σίπτη	Siptè, (v.)
Σίπυλος	du Sipylos
Σίρις	Siris (auj. Sinni) (fl.)
Σίρωμος	Sirômos
Σίφνος	Siphnos (auj. Sífnos)
Σαβάζιος	de Sabazios
Σαβακῶν	Sabakôn
Σαβός	de Sabazios
Σαβύλινθος	Sabylinthos, (h.)
Σαβῖνα	Sabina, (f. rom.)
Σαβῖνος	Sabinus, (h. rom.)
Σαδυάττης	Sadyattès
Σαλαβακχώ	Salabakkhô, (f.)
Σαλαμίς	Salamine
Σαλαμινιάς	de l'î. de Salamine ; de Salamine
Σαλμακίς	courtisane
Σαλμυδησσός	Salmydèssos (auj. Kıyıköy, Midye) (v.)
Σαλμωνεύς	Salmônée
Σαλύνθιος	Salynthios
Σαμαρεία	Samarie, (v.)
Σαμιακός	de Samos
Σαμοθρᾴκη	Samothrace (auj. Samothráki) (île)
Σαμοθρᾴκιος	de Samothrace
Σαναχάριβος	Sanakharib
Σανδώκης	Sandôkès
Σαννυρίων	Sannyrion
Σαπφικός	de Sappho, sapphique
Σαπφῷος	de Sappho
Σαράγγαι	les Saranges (auj. Sistân)
Σαραπίων	Sarapiôn, (h.)
Σαργεύς	Sargée, (h.)
Σαρδανάπαλλος	Sardanapale
Σαρδανάπαλος	Sardanapale
Σαρδιανικός	de Sardes
Σαρδιανός	de Sardes
Σαρδοί	les Sardes (de Sardaigne)
Σαρπηδόνιος	de Sarpèdon
Σαρωνικός	de Saron, Saronique (golfe)
Σατάσπης	Sataspès
Σατανικός	de Satan, satanique
Σατιβαρζάνης	Satibarzanès
Σατνιόεις	Satnioïs, (fl.)
Σατορνάλια	les fêtes de Saturne, les Saturnales
Σατταγύδαι	les Sattagydes
Σατυρήϊος	Satureius, (h. rom.)
Σατυρίδιον	petit satyre
Σατυρίσκος	petit satyre
Σατύριος	Satyrios
Σαυνῖτις	le territoire des Samnites
Σαυρίας	Saurias, (h.)
Σαυροματικός	des Sarmates
Σαύλιος	Saulios
Σαώ	Saô
Σεβαστεύω	???? Renvoi sans Issue ????
Σεβῖνος	Sébinos
Σειληνός	Seilènos (Silène)
Σεκοῦνδος	Secundus, (h. rom.)
Σελευκεία	Séleukeia (Séleucie)
Σεληπιάδης	fils de Sélèpios
Σελινούντιος	de Sélinunte
Σελλάρτιος	allongem. com. de Σέλλος (h.)
Σελλήεις	Sellèente
Σεμέλη	Sémélè
Σεμίραμις	Sémiramis
Σεμπρώνιος	Semprōnius, (h. rom.)
Σεξτίλιος	Sextĭlius, (h. rom.) ; Sextilis, n. d’un mois romain, le mois d'août
Σεπτέμβριος	de Septembre
Σερίφιος	de Sériphos
Σεραπίων	Sérapiôn
Σεραπεῖον	temple de Sérapis
Σερμύλη	Sermylè (auj. Ormýlia) (v.)
Σερουίλιος	Servilius, (h. rom.)
Σερούϊος	Servius, (h. rom.)
Σευτλαῖος	Seutlæos (amateur de bette)
Σευῆρος	Severus, (h. rom.)
Σεύθης	Seuthès
Σηπίη	seiche
Σηπιάς	le promontoire ou le rivage de Sèpia, (auj. Ákra Ayíou Yeoryíou)
Σηστιάς	de Sestos
Σθένελος	Sthénélos
Σθένιος	Sthénios, « le Fort »
Σθενέβοια	Sthénébœa, (f.)
Σθενέλαος	Sthénélaos
Σθενώ	Sthénô
Σιβυλλιακός	de sibylle, sibyllin
Σιβύλλειος	de sibylle, sibyllin
Σιβύρτιος	Sibyrtios, (h.)
Σιδηρώ	Sidèrô
Σιδωνιάς	originaire de Sidon
Σιδόνιος	Sidônios
Σιθωνίς	femme de Thrace
Σικανικός	de Sicanie
Σικανός	Sikanos
Σικελία	Sicile, (île)
Σικελίδης	Sikélidès
Σικελικός	de Sicile, Sicilien
Σικελιωτικός	de Siciliote
Σικελιῶτις	fém. de Σικελιώτης (Sicilien)
Σικελοί	les Siciliens
Σικυώνιος	Sicyonien
Σιλανίων	Silaniôn, (h.)
Σιλανός	Silanos, (h.)
Σιλουανός	Silvanus (Pan aux pieds de chèvre)
Σιμμίας	Simmias, (h.)
Σιμοείσιος	Simoeisios, « le riverain du Simoïs »
Σιμοεντίς	du Simoïs
Σιμούντιος	du Simoïs
Σιμωνίδειος	de Simonide
Σιμόεις	le Simoïs (auj. Dumrek) (fl.)
Σιμύλος	Simylos, (h.)
Σιντιακός	des Sinties
Σιντοί	les Sintes
Σινωπίς	terre de Sinope
Σινωπεύς	habitant de Sinope
Σινωπικός	de Sinope
Σιρομίτρης	Siromitrès
Σισύφειον	temple de Sisyphe
Σισύφειος	de Sisyphe
Σιτάλκας	Sitalkès, (plusieurs rois thraces)
Σιτάλκης	Sitalkès, (plusieurs rois thraces)
Σιτώ	Sitô, « la déesse du blé ou de l'alimentation, »
Σκάμανδρος	Skamandros (Scamandre)
Σκάνδεια	Skandeia (auj. Paleópoli, près d'Avlémonas)
Σκάρφη	Scarphè, (v.)
Σκέδασος	Skédasos
Σκίαθις	ombre
Σκίαθος	Skiathos (auj. Skiáthos) (île)
Σκίδρος	Skidros, (v.)
Σκίος	Skios
Σκίριτις	la Skiritide
Σκίρος	Skiros
Σκίρτος	Skirtos
Σκίταλοι	sorte de démons, dieux des coquins
Σκίτων	Skitôn, « libertin, » (h.)
Σκαιαί	situé à gauche, gauche ; oblique, tortueux
Σκαμάνδριος	Skamandrios
Σκαμανδρώνυμος	Skamandrônymos
Σκαῖος	Skæos, (h.)
Σκείρων	Skeirôn (Sciron)
Σκειρωνίς	le chemin de Skeirôn (Sciron) vers les Roches Scironiennes
Σκιράδιον	Skiradion
Σκιράς	Skiras
Σκιροφοριών	Skirophoriôn, ~mois du calendrier athénien
Σκιροφόρια	Skirophories
Σκιρωνίδης	Skirônidès, (h.)
Σκιωναῖος	de Skiônè
Σκιώνη	Skiônè, (v.)
Σκολοπόεις	Skolopœnte, (lieu près de Mycale)
Σκορπιών	Scorpiôn
Σκοτοῦσσα	Skotoussa, « la Sombre », (v.)
Σκυθία	la Scythie
Σκυθῖνος	Skythinos
Σκυλάκη	Skylakè, (v.)
Σκυλλίης	Skylliès, (h.)
Σκυλλαῖον	Skyllæon
Σκυρόθεν	de Scyros
Σκόπαδαι	les descendants de Skopas
Σκόπη	lieu d'où l'on observe, observatoire ; action d'observer
Σκύθαινα	« la Scythe »
Σκύλης	Skylès
Σκύλιος	sorte de chien de mer
Σκύλλα	Skylla (Scylla)
Σκύλλις	Skyllis, (f.)
Σκύριος	de Scyros
Σκώπασις	Skôpasis
Σμάραγος	Smaragos, « le grondant » ou « le bruyant »
Σμέρδις	Smerdis
Σμίκυθος	Smikythos, (h.)
Σμίλα	Smila, (v.)
Σμίνθιος	de Sminthè, (v.) destructeur de rats ; Sminthée, (h.)
Σμερδομένης	Smerdoménès
Σμικυθίων	Smikythiôn, (h.)
Σμινδυρίδης	Smindyridès
Σμοῖος	Smœos, (h.)
Σμυρναικός	de Smyrne
Σμύρνη	Smyrna (Smyrne)
Σολόεις	Solunte
Σουΐδας	Suidas, historien et lexicographe, ou la Souda, encyclopédie du 10e s.
Σουλπίκιος	Sulpicius, (h. rom.)
Σουνιάδης	Souniadès, (h.)
Σουνιέρακος	honoré à Sounion, faucon, épervier de Sounion
Σουνιακός	de Sounion
Σουνιεύς	originaire ou habitant de Sounion
Σουσίς	de Suse
Σουσαρίων	Sousariôn (Susarion)
Σοφαίνετος	Sophænétos
Σοφοκλέης	Sophoklès (Sophocle)
Σοφωνίδης	Sophônidès, (h.)
Σοφόκλειος	de Sophocle
Σούσα	Suse (la ville des Lis) (auj. ruines près de Shush)
Σούσιος	de Suse
Σούτριον	Sutri (v.)
Σοῦσα	Suse (la ville des Lis) (auj. ruines près de Shush)
Σπάρτακος	Spartacus, (gladiateur célèbre)
Σπάρτηθεν	de Sparte
Σπάρτηνδε	à Sparte, vers Sparte
Σπάρτωλος	Spartôlos, (v.)
Σπάρτων	Spartôn, (h.)
Σπένδων	Spendôn, (h.)
Σπίνθαρος	Spintharos, (h.)
Σπακώ	Spakô
Σπαράδοκος	???? Renvoi sans Issue ????
Σπαργαπίσης	Spargapisès
Σπαρτιάτης	Spartiate
Σπαρτιατικός	de Sparte ou des Spartiates
Σπειώ	Spéiô
Σπερθίης	Sperthiès
Σπερχειός	le Sperkheios, « le rapide », (auj. Sperchiós, Alamána) (fl.)
Σπεύσιππος	Speusippos
Σπιθριδάτης	Spithridatès
Σποργίλος	Sporgilos, (h.)
Σπόριος	Spurius, (h. rom.)
Στάγειρος	Stagiros (Stagire, ruines près d'Olympiáđa) (v.)
Στάγιρα	Stagiros (Stagire, ruines près d'Olympiáđa) (v.)
Στάσιππος	Stasippos, (h.)
Στάτειρα	Stateira
Στάφυλος	Staphylos, (h.)
Σταγιρίτης	habitant ou originaire de Stagiros
Σταδιεύς	coureur dans le stade
Στασικράτης	Stasikratès. (h.)
Στασῖνος	Stasinos
Στειριεύς	originaire ou habitant du dème Steiria (auj. ruines de Pórto Ráfti)
Στεντόρειος	de Stentor
Στενύκληρος	Stényklèros, (v.)
Στερόπης	Stéropès
Στησήνωρ	Stèsènor, (h.)
Στησίμβροτος	Stèsimbrotos, (h.)
Στησιχόρειος	de Stésichore
Στιλβίδης	Stilbidès
Στιλβωνίδης	Stilbônidès, (h.)
Στιχίος	Stikhios, (h.)
Στοικός	de l'école du Portique, des Stoïciens
Στράτος	Stratos
Στράττις	Strattis
Στράτων	Stratôn, (h.)
Στρέψα	Strepsa
Στρατίη	Stratiè, (v.)
Στρατίος	Stratios
Στρατονίκη	Stratonikè (Stratonice)
Στρατόλας	Stratolas
Στρατόνικος	Stratonikos, (h.)
Στρατόπεδα	les Camps
Στρεψιάδης	Strepsiadès, (h.)
Στρογγύλη	Strongylè la Ronde, (Stromboli)
Στρομβιχίδης	Strombikhidès, (h.)
Στροφάδες	les Strophades (auj. Strofádes ou Strofádia)
Στροφίος	Strophios
Στρούθης	Strouthas
Στρούθιος	Strouthios
Στρούχατες	les Stroukhates
Στροῖβος	Strœbos, (h.)
Στρυμόδωρος	Strymodôros
Στρυμόνιος	du Strymon
Στρόμβιχος	Strombikhos, (h.)
Στρόφακος	Strophakos
Στρύμη	Strymè, colonie de Thasos, en Thrace
Στυμφάλιος	de Stymphalos
Στυμφαλίς	de Stymphalos ; Stymphalis, (f.)
Στυρής	les habitants de Styres
Στύμφαλος	Stymphalos (auj. ruines près de Kiónia) (v.)
Στύρα	Styres (auj. Stýra) (v.)
Στύφων	Styphôn
Συέννεσις	Syennésis
Συήνη	Syènè (auj. Assouan) (v.)
Συβαρίτης	Sybarite
Συλέος	la plaine Syléos
Συλοσών	Sylosôn, (h.)
Συλοσῶν	Sylosôn, (h.)
Συνέσιος	Synésios
Συράκουσα	Syrakousa, (f.)
Συρήκουσαι	Syrakousa, (f.)
Συρακούσιος	de Syracuse, Syracusain
Συρακόσιος	de Syracuse
Συρηκόσιος	de Syracuse
Συριανός	Syrianos, (h.)
Σφήττιος	du dème Sphèttos ; aigre, piquant
Σφαῖρος	Sphæros, (h.)
Σφηττοῖ	dans le dème Sphèttos
Σφοδρίας	Sphodrias, (h.)
Σφραγιτίδες	les nymphes de Sphragidion, du Cithéron
Σφῆλος	Sphèlos, (h.)
Σχεδίος	Skhédios
Σχερία	Skhéria, (île)
Σχοίνευς	Skhœnée
Σχοινεύς	Skhœnée
Σωκλής	Sôklès, (h.)
Σωκράτεια	fête en l'honneur de Socrate
Σωκρατίδης	Sokratidès, (h.)
Σωκρατίδιον	(mon) bon Socrate
Σωκρατίζω	imiter Socrate
Σωσίβιος	Sôsibios, (h.)
Σωσίστρατος	Sôsistratos, (h.)
Σωσθένης	Sôsthénès (Sosthène) (h.)
Σωσιγένης	Sosigénès, (h.)
Σωσικλῆς	Sôsiklès, (h.)
Σωσιμένης	Sôsiménès, (h.)
Σωσιφάνης	Sôsiphanès
Σωστράτη	Sôstratè, (f.)
Σωστρατίδης	Sôstratidès, (h.)
Σωτάδης	Sôtadès
Σωτήριχος	Sôtèrikhos, (h.)
Σωτίων	Sôtiôn
Σωφάνης	Sôphanès
Σωφρονίσκος	Sôphroniskos
Σωφρόνισκος	Sôphroniskos
Σόλλιον	Sollion, (v.)
Σόλυμοι	les Solymes
Σόλων	Solon
Σόος	Soos ou Sous, (h.)
Σόφιλος	Sophilos, (h.)
Σύμη	Symè (auj. Sými)
Σύρα	fém. de Σύρος (Syrien)
Σύργις	Syrgis (auj. Donets) (fl.)
Σώπατρος	Sôpatros, (h.)
Σώπολις	Sôpolis, (h.)
Σώσανδρος	Sôsandros, (h.)
Σώσιππος	Sôsîppos
Σώστρατος	Sôstratos, (h.)
Σώφιλος	Sôphilos (h.)
Σῆμος	Sèmos ou Samos, (h.)
Σῶσις	Sôsis, (h.)
Σῶσος	Sôsos, (h.)
Τάβαλος	Tabalos, (Perse)
Τάλαος	Talaos
Τάλως	Talôs, (h.)
Τάμως	Tamôs
Τάναις	le Tanaïs
Τάναος	Tanaos, (fl.)
Τάνις	Tanis, (v.)
Τάξακις	Taxakis
Τάρνη	Tarnè
