@Αἰάντειος	d'Ajax,	of Ajax
δυσκατάπρακτος	difficile à accomplir,	hard to effect
δυσκατάρτιστος	qui ne peut exécuter ou accomplir,	hard to place rightly
δυσκατάστατος	difficile à apaiser,	hard to restore or rally
δυσκαταγώνιστος	difficile à combattre,	hard to overcome
δυσκαταμάθητος	difficile à apprendre ou à comprendre,	hard to learn or understand
δυσκαταμάχητος	difficile à vaincre dans un combat ;	hard to overcome
δυσκατανόητος	difficile à comprendre,	hard to understand
δυσκαταπολέμητος	difficile à combattre ou à soumettre par une guerre,	hard to conquer
δυσκαταποσία	difficulté pour boire,	difficulty of swallowing
δυσκαταποτέω	boire avec peine,	have difficulty in swallowing
δυσκαταπόνητος	dont on ne peut venir à bout à force de travail,	hard to execute
δυσκαταφρόνητος	qu'on ne peut mépriser,	not to be despised
δυσκατούλωτος	difficile à cicatriser,	hard to cicatrize
δυσκατόρθωτος	difficile à digérer, à redresser ou à obtenir,	hard to succeed in
δυσκερδής	qui procure difficilement du gain,	with ill gains, ill-gotten
δυσκηδής	qui apporte de pénibles soucis,	full of misery
δυσκινησία	difficulté de se mouvoir,	difficulty of moving
δυσκλήρημα	mauvais lot, sort malheureux, malheur,	piece of ill luck
δυσκλεής	sans gloire,	inglorious
δυσκληρέω	n'être pas favorisé du sort,	to be unlucky in one's lot
δυσκοίλιος	dont le ventre est resserré,	bad for the bowels
δυσκοινώνητος	insociable,	unsocial
δυσκοιτέω	être mal à l'aise dans le lit,	to have bad nights
δυσκολόκαμπτος	modulé désagréablement,	hard to bend
δυσκολόκοιτος	qui trouble le sommeil,	making bed uneasy
δυσκράτητος	difficile à vaincre,	hard to control
δυσκραής	see <lang="grc">δύσκρατος</grc>	intemperate
δυσκρινής	difficile à discerner, indistinct,	hard to distinguish
δυσκωφέω	être très sourd,	to be hard of hearing
δυσκωφία	surdité complète,	deafness
δυσκόλλητος	mal collé, mal soudé,	hard to glue together
δυσκόμιστος	difficile à supporter, intolérable,	hard to bear, intolerable
δυσκύμαντος	qui provient de l'agitation des flots,	from the stormy sea.
δυσλέαντος	difficile à broyer,	hard to pound or bray
δυσλεπής	difficile à peler ou à écorcer,	rough-husked
δυσμάλακτος	difficile à amollir,	hard to soften
δυσμάσητος	difficile à mâcher,	hard to chew
δυσμάχητος	difficile à combattre,	keenly contested
δυσμένεια	hostilité, animosité, malveillance,	ill-will, enmity
δυσμέτρητος	difficile à mesurer,	hard to measure
δυσμήτηρ	mauvaise mère,	yet no mother
δυσμήτωρ	d'une mère dénaturée,	an ill mother's wrath.
δυσμίμητος	difficile à imiter, à contrefaire,	hard to imitate
δυσμίσητος	tout à fait odieux,	much hated
δυσμαθέω	avoir de la peine à reconnaître,	to be slow at recognizing
δυσμανής	difficile à raréfier, épais, dense,	thick
δυσμαχέω	soutenir une lutte impie ou désespérée :	fight in vain against or fight an unholy fight with
δυσμείλικτος	difficile à adoucir (à emmieller)	hard to appease
δυσμενέων	see <lang="grc">δυσμεναίνω</grc>	bearing ill-will, hostile
δυσμενής	malveillant, hostile, 	hostile
δυσμεναίνω	être mécontent, fâché :	bear ill-will
δυσμενικός	hostile, ennemi,	like an enemy, hostile
δυσμετάδοτος	qui n'aime pas à partager,	not imparting freely
δυσμετάθετος	difficile à changer,	hard to alter
δυσμετάκλητος	difficile à rappeler, à faire changer d'habitudes,	hard to cure of a habit
δυσμετακίνητος	qu'on ne peut facilement mouvoir,	hard to shift
δυσμηχανέω	être malheureusement empêché de,	to be at loss how
δυσμικός	occidental,	western
δυσμορία	infortune,	a hard fate
δυσμορφία	difformité,	misshapenness, ugliness
δυσνίκητος	difficile à vaincre,	hard to conquer
δυσνοέω	être hostile à, en vouloir à,	to be ill-affected
δυσνομία	mauvaise législation,	lawlessness, bad constitution
δυσνόητος	difficile à comprendre,	hard to be understood
δυσνύμφευτος	dont l'union est malheureuse,	ill-wedded
δυσξήραντος	qui sèche difficilement,	hard to dry
δυσξύνετος	difficile à comprendre,	hard to understand
δυσοίζω	être effrayé, redouter, craindre,	to be distressed
δυσοίκητος	inhabitable,	bad to dwell in
δυσοδέω	marcher péniblement,	make bad way, get on slowly
δυσοδία	difficulté d'une route,	badness of roads
δυσοδοπαίπαλος	aux roches impraticables,	difficult and rugged
δυσοικονόμητος	difficile à digérer,	hard to digest
δυσομίλητος	d'un commerce difficile,	hard to live with
δυσορασία	vue faible,	dim sight
δυσοργησία	transport de colère,	passionateness
δυσορεξία	inappétence,	lack of appetite
δυσοσμία	mauvaise odeur,	an ill smell
δυσουρέω	see <lang="grc">δυσουριάω</grc>	to have difficulty in micturition
δυσουρία	rétention d'urine,	difficult micturition
δυσούλωτος	qui se cicatrise difficilement,	hard to scar over
δυσούριστος	qu'on ne peut diriger à l'aide d'un vent favorable, heureusement, irrémédiable,	driven by a too favourable wind, fatally favourable
δυσπάλαιστος	contre qui ou contre quoi l'on ne peut lutter :	hard to wrestle with
δυσπάλαμος	irrésistible,	hard to struggle with
δυσπάρευνος	dont la couche est funeste,	ill-mated
δυσπάρθενος	malheureuse jeune fille,	a virgin to her cost
δυσπάριτος	difficile à traverser,	hard to pass
δυσπάροδος	see <lang="grc">δυσπάριτος</grc>	hard to enter
δυσπάτητος	où l'on marche difficilement, difficile (route)	hard to the feet
δυσπέλαστος	difficile à approcher,	dangerous to come near
δυσπένθερος	causé par un mauvais beau-père,	of an evil father-in-law
δυσπέρατος	difficile à traverser,	hard to pass or cross
δυσπέτημα	malchance, malheur,	misfortune
δυσπήμαντος	qui cause un grand mal, désastreux,	full of grievous evil, disastrous
δυσπαράγραφος	difficile à déterminer,	hard to define
δυσπαράθελκτος	difficile à émouvoir par des caresses,	hard to assuage
δυσπαράπλευστος	difficile ou dangereux à côtoyer (en naviguant)	hard to sail along
δυσπαρήγορος	inexorable,	hard to appease
δυσπαραίτητος	inexorable,	hard to move by prayer, inexorable
δυσπαρακόμιστος	difficile à transporter,	hard to carry along
δυσπαραμύθητος	difficile à calmer (par des exhortations)	hard to appease
δυσπαρατήρητος	difficile à observer,	hard to observe
δυσπαρηγόρητος	difficile à consoler, inconsolable,	inconsolable
δυσπείθεια	désobéissance, insubordination,	indiscipline, disobedience
δυσπειθής	difficile à persuader,	hard to persuade, not easily talked over
δυσπειρία	difficulté d'une expérience,	difficulty of learning by experiment
δυσπενθέω	être vivement affligé,	to be sore afflicted
δυσπεπτέω	avoir peine à digérer,	digest with difficulty
δυσπερίληπτος	difficile à entourer, à embrasser,	hard to encompass
δυσπερίτρεπτος	difficile à renverser,	hard to overturn
δυσπερίψυκτος	à l'abri du refroidissement,	hard to chill
δυσπεριάγωγος	qui exécute difficilement les mouvements tournants, qui évolue difficilement,	hard to wheel about
δυσπεριγένητος	difficile à surmonter,	hard to overcome
δυσπερινόητος	difficile à comprendre,	hard to conceive
δυσπετής	qui tombe mal, difficile,	falling out ill, most difficult
δυσπινής	sale, sordide,	squalid
δυσπιστέω	croire difficilement,	mistrust
δυσπιστία	incrédulité,	disbelief
δυσπολέμητος	contre qui l'on ne peut guerroyer, invincible,	hard to war with
δυσπολίτευτος	impropre aux affaires publiques,	unfit for public business
δυσπολιόρκητος	inexpugnable,	hard to take by siege
δυσπονής	see <lang="grc">δύσπονος</grc>	toilsome
δυσπονία	peine, fatigue,	toil and trouble
δυσπορέω	marcher avec peine,	have a toilsome march
δυσπορία	difficulté de traverser, passage difficile,	difficulty of passing
δυσποτμέω	être malheureux,	despair of oneself
δυσποτμία	infortune,	ill luck, ill success
δυσπρέπεια	indécence, laideur,	indecency
δυσπραγέω	être malheureux dans ses entreprises, éprouver des revers,	to be unlucky
δυσπραγής	malheureux dans ses entreprises,	faring ill
δυσπραγία	revers, malheur,	ill luck, ill success
δυσπραγμάτευτος	difficile à manier,	hard to manage
δυσπραξία	see <lang="grc">δυσπραγία</grc>	ill success, ill luck
δυσπρεπής	indécent, inconvenant,	base, undignified
δυσπροσήγορος	peu affable,	hard to speak with, repulsive
δυσπροσπέλαστος	difficilement accessible,	hard to get at
δυσπροσπόριστος	où l'on se procure difficilement des vivres,	bad for foraging in
δυσπροσόρμιστος	où l'on aborde difficilement,	hard to land on, having few ports
δυσπρόσιτος	d'un abord difficile,	difficult of access or attack
δυσπρόσμαχος	difficile à combattre,	hard to attack
δυσπρόσοδος	d'un abord difficile,	difficult of access
δυσπρόσοιστος	peu abordable, intraitable,	hard to approach
δυσπρόσπτωτος	difficile à aborder,	hard to apply
δυσπρόσωπος	d'aspect terrible,	of ill aspect, sour looks
δυσπόλεμος	malheureux à la guerre,	unlucky in war
δυσπόρευτος	difficile à traverser, peu praticable,	hard to pass
δυσπόριστος	qu'on se procure difficilement, 	hard to come by or procure
δυσραγής	difficile à rompre,	hard to break
δυσροέω	avoir un cours malheureux, être malheureux,	flow ill
δυσροητικός	qui expose à la ruine,	leading to ill luck
δυσσυνάλλακτος	intraitable, insociable,	hard to deal with
δυσσυνείδητος	qui a une mauvaise conscience,	with a bad conscience
δυσσύμφυτος	qui s'agglutine difficilement,	hardly growing together
δυσσύνακτος	difficile à rassembler, à réunir,	hard to bring together
δυσσύνοπτος	difficile à voir d'ensemble, difficile à distinguer,	hard to get a view of
δυσσῴστως	de façon à être difficilement conservé,	with small chance of survival
δυστάλας	tout à fait malheureux,	most miserable
δυστέκμαρτος	difficile à conjecturer, à deviner,	hard to make out from signs, hard to trace
δυστήρητος	difficile à garder,	hard to keep
δυσταμίευτος	qui administre mal,	hard to manage
δυστατέω	n'être pas stable, ferme, solide,	to be unstable
δυστεκνία	privation d'enfants,	ill luck in the matter of children
δυστερπής	pénible, affligeant,	ill-pleasing
δυστιθάσευτος	difficile à apprivoiser,	hard to tame
δυστλήμων	très malheureux,	suffering hard things, h. Ap.
δυστοκέω	accoucher ou enfanter péniblement,	suffer in childbirth
δυστοκία	accouchement ou enfantement difficile,	painful delivery
δυστοκεύς	malheureux père, malheureux parents,	suffering in child-birth
δυστομέω	injurier :	speak evil of
δυστράπεζος	qui fait un repas horrible,	fed on horrid food
δυστράπελος	difficile à tourner, à mouvoir, à traiter,	difficult to deal with
δυστραπελία	difficulté à tourner ou à mouvoir qqe ch., difficulté	difficulty of managing
δυστρατοπέδευτος	peu commode pour camper,	ill-suited for encamping
δυστροπία	malignité d'une maladie,	peevishness
δυστρύπητος	difficile à percer,	hard to bore through
δυστυχέω	être malheureux,	to be unlucky, unfortunate
δυστυχής	malheureux, infortuné, 	unlucky, unfortunate
δυστυχία	malheur, mauvaise fortune,	ill luck, ill fortune
δυστόπαστος	difficile à conjecturer, à deviner, à comprendre,	hard to guess
δυστόχαστος	difficile à viser, à atteindre, à conjecturer,	hard to hit upon
δυστύχημα	accident malheureux, malheur,	piece of ill luck, failure, misfortune
δυσυπνέω	avoir de la peine à dormir,	sleep ill
δυσυπνήτως	avec un sommeil difficile,	insomnia
δυσυπομόνητος	see <lang="grc">δυσυπομένητος</grc>	hard to abide
δυσυπονόητος	soupçonneux,	hard to detect the nature of
δυσυπόστατος	dont il est difficile de soutenir le choc, irrésistible,	hard to withstand
δυσφάνταστος	qui se représente difficilement les objets,	hard to imagine
δυσφήμημα	blasphème,	word of ill omen
δυσφαής	qui a peu d'éclat, obscur,	scarce visible
δυσφανής	see <lang="grc">δυσφαής</grc>	dark, obscure
δυσφιλής	odieux,	hateful
δυσφροσύνη	chagrin, inquiétude,	anxiety, care
δυσφρόνη	see <lang="grc">δυσφροσύνη</grc>	anxieties, troubles
δυσφυής	qui pousse difficilement,	germinating tardily
δυσφωνία	rudesse de voix ou de son,	roughness of sound
δυσφόρητος	difficile à supporter,	hard to be borne
δυσφόρμιγξ	non accompagné des accents de la lyre, triste, lamentable,	unlike the lyre, mournful
δυσχάριστος	ingrat,	thankless
δυσχέρανσις	mécontentement, ennui,	disgust
δυσχέρασμα	marque d'impatience, de mauvaise humeur,	harsh judgements
δυσχαλίνωτος	difficile à brider,	hard to rein, unbridled
δυσχείρωμα	entreprise difficile,	a hard conquest
δυσχείρωτος	difficile à vaincre, à soumettre,	hard to subdue
δυσχειμερινός	see <lang="grc">δυσχειμέριος</grc>	wintry climates
δυσχερής	difficile à manier,	hard to take in hand or manage
δυσχεραινόντως	avec indignation,	with disgust
δυσχεραντικός	d'un caractère difficile, irascible,	peevish
δυσχλαινία	mauvais manteau, guenille, haillons,	mean or shabby clothing
δυσχορήγητος	dont il est difficile d'organiser la représentation (à cause de la dépense)	difficult to stage
δυσχρήστημα	incommodité, embarras,	inconvenience
δυσχυμία	saveur désagréable, mauvais goût,	an ill taste
δυσχωρία	difficulté d'un lieu, d'un terrain,	rough ground
δυσχώρητος	d'où il est difficile de sortir,	hard to traverse: inextricable
δυσχώριστος	difficile à séparer, à démêler,	hard to separate
δυσωδέω	exhaler une mauvaise odeur,	to be ill-smelling
δυσωδία	odeur fétide,	foul smell
δυσωπητικός	propre à inspirer de la confusion, à troubler, à émouvoir,	importunate
δυσόδευτος	difficile à franchir,	hardly passable
δυσόλισθος	qui glisse et tombe difficilement,	not slipping easily
δυσόμματος	dont les yeux ne voient plus, mort,	scarce-seeing, purblind
δυσόμοιος	dissemblable,	unlike
δυσόρφναιος	ténébreux et effrayant,	dusky
δυσόφθαλμος	d'aspect hideux,	offensive to the sight
δυσύποιστος	difficile à supporter, intolérable,	hard to endure
δυσώδης	d'odeur infecte, fétide,	ill-smelling, stinking, foul
δυσώδινος	dont l'enfantement est pénible,	causing grievous pangs
δυσώλεθρος	qui meurt difficilement, vivace (plante),	hard to kill, tenacious of life
δυσώνης	mauvais acheteur, qui marchande,	one who beats down the price, hard bargainer
δυσώπημα	objet de honte ou de répugnance,	a means of making
δυωδεκάδρομος	qui a douze fois parcouru le stade, qui a fourni la course entière,	running the course twelve times
δυωδεκάμοιρος	divisé en douze parts,	divided into twelve parts
δυωδεκάπηχυς	de douze coudées,	of twelve cubits
δυωδεκάς	le nombre douze,	the number twelve
δυωκαιεικοσίμετρος	qui contient 22~mesures (vase)	holding twenty-two measures
δυωκαιεικοσίπηχυς	de 22~coudées,	twenty-two cubits long
δυώδεκα	see <lang="grc">δώδεκα</grc>	twelve
δωδέκατος	douzième,	twelfth
δωδεκάγναμπτος	dont il faut faire douze fois le tour,	bent twelve times
δωδεκάγωνον	dodécagone, mesure de douze angles ou côtés,	dodecagon
δωδεκάδαρχος	commandant de douze hommes,	leader of twelve
δωδεκάδραχμος	du prix de douze drachmes,	sold at twelve drachmae
δωδεκάδωρος	de douze palmes,	twelve palms long
δωδεκάεδρος	de douze faces, dodécaèdre,	with twelve surfaces
δωδεκάεθλος	qui a douze fois remporté le prix (Hèraklès)	conqueror in twelve contests
δωδεκάκις	douze fois,	twelve times
δωδεκάκλινος	de douze lits,	holdingtwelve
δωδεκάκρουνος	à douze sources,	with twelve springs
δωδεκάλινος	à douze fils (de lin)	of twelve threads
δωδεκάμηνος	de douze mois	of twelve months
δωδεκάπαλαι	depuis un siècle (depuis douze fois longtemps)	twelve times
δωδεκάπηχυς	de douze coudées,	twelve cubits high
δωδεκάπους	de douze pieds,	twelve feet long
δωδεκάς	douzaine,	group of twelve
δωδεκάσημος	à douze temps,	of twelve times
δωδεκάσκαλμος	à douze bancs de rameurs,	twelve-oared
δωδεκάσκυτος	formé de douze peaux,	of twelve strips of leather
δωδεκάστεγος	à douze étages (tour)	with twelve stories
δωδεκάφυλλος	à douze feuilles,	with twelve petals
δωδεκάφυλος	de douze tribus, 	of twelve tribes
δωδεκάωρος	de douze heures,	of twelve hours
δωδεκέτης	âgé de douze ans,	twelve years old
δωδεκήρης	à douze bancs de rameurs,	a ship with twelve banks of oars
δωδεκαετής	de douze ans,	lasting twelve years
δωδεκαετία	espace de douze ans,	space of twelve years
δωδεκαετηρίς	espace de douze années,	cycle of twelve years
δωδεκαπλάσιος	douze fois aussi grand,	twelvefold
δωδεκαστάδιος	de douze stades,	twelve stades long
δωδεκαστάσιος	qui pèse douze fois autant,	weighing twelve times as much
δωδεκαταῖος	qui vient ou se fait le 12e~jour,	on the twelfth day, in twelve days
δωδεκαφόρος	qui rapporte douze fois par an,	bearing twelve times a year
δωδεκαόργυιος	de douze brasses,	of twelve fathoms
δωδώνη	@	chatterbox
δωμάω	bâtir, construire,	build
δωμήτωρ	qui bâtit, constructeur,	builder
δωματίτης	de la maison, domestique,	of, belonging to the house
δωματοφθορέω	détruire la maison,	ruin the house
δωράκινον	sorte de pêche d'abricot	duracinum
δωρέω	donner en présent :	give, present
δωρητήρ	donateur,	giver
δωρητικός	qui aime à donner, généreux,	concerned with giving
δωρισμός	langage dorien, prononciation dorienne,	speaking in the Doric dialect
δωροδέκτης	qui reçoit volontiers des présents, qui se laisse corrompre,	one that takes bribes
δωροδοκία	réception de présents, corruption par des présents, vénalité,	taking of bribes
δωροδοκιστί	sur l'air ou le mode de la corruption, à la façon de ceux qui se laissent corrompre,	in bribefashion
δωροδοτέω	faire des présents à,	give presents
δωροδότης	qui fait présent de, qui donne,	giver of presents
δωροκοπέω	chercher à corrompre par des présents,	bribe
δωροκοπία	corruption par des présents,	bribery
δωρολήπτης	qui accepte des présents,	greedy of gain
δωροληψία	acceptation de présents,	taking of presents
δωροτελέω	accomplir un vœu au moyen d'une offrande,	bringpresents
δωροφάγος	avide de présents,	devouring gifts, greedy of presents
δωροφορέω	apporter des présents :	bring presents
δωροφορία	offrande, présent,	bringing of presents
δωροφόρος	qui apporte des présents,	bringing presents
δωρόδειπνος	qui sert à dîner,	giving dinner
δωσίδικος	qui s'en remet à la justice, p. opp. à celui qui se fait justice lui-même,	referring disputes to a court
δωτήρ	donateur, dispensateur,	giver
δωτίνη	don, présent, 	gift, present
δωτινάζω	recevoir des présents, des offrandes,	receive or collect presents
δόγμα	ce qui paraît bon,	that which seems to one, opinion or belief
δόκανα	pièces de bois parallèles reliées par des traverses, de la constellation des Gémeaux	two upright parallel bars
δόκιμος	@	acceptable:
δόκωσις	charpente,	furnishing with rafters, roofing
δόλιος	fourbe, rusé, trompeur,	crafty, deceitful, treacherous
δόλιχος	@	the long course
δόλοψ	@	lurker in ambush
δόλωμα	piège, ruse,	trick, deceit
δόλων	@	flying jib
δόλωσις	action de tromper,	tricking
δόμα	don,	@
δόμημα	construction, édifice,	building
δόμονδε	à la maison, vers la maison,	homeward
δόνημα	secousse, agitation (d'un arbre)	agitation, waving
δόρκων	@	ship
δύη	calamité, malheur, affliction,	misery, anguish
δύναμις	puissance,	power, might
δύσαρκτος	difficile à gouverner,	hard to govern
δύσαυλος	qui rend le séjour en plein air difficile, incommode,	@
δύσαυλος1	qui rend le séjour en plein air difficile, incommode,	@
δύσαυλος2	malheureux au concours de flûte,	@
δύσγαμος	qui concerne une union funeste,	ill-wedded
δύσγνοια	ignorance, doute,	ignorance, doubt
δύσδαμαρ	malheureux par sa femme,	ill-wedded
δύσδεικτος	difficile à montrer,	hard to prove
δύσδηρις	difficile à combattre,	hard to fight with
δύσεικτος	qui cède difficilement, intraitable,	unyielding, stiff
δύσελπις	qui espère difficilement, qui désespère,	hardly hoping, despondent
δύσζωος	qui mène une vie misérable,	wretched
δύσθεος	impie,	godless, ungodly.
δύσθηρος	malheureux à la chasse,	having bad sport
δύσθλαστος	difficile à écraser,	hard to crush, tough
δύσθραυστος	difficile à briser,	hard to break
δύσθρυπτος	difficile à briser,	hard to break in pieces
δύσικμος	difficile à humecter, sec,	with scanty secretions
δύσιππος	peu favorable à la cavalerie,	hard to ride in
δύσκαυστος	qui brûle difficilement,	hard to burn
δύσκηλος	difficile à soigner, à cultiver,	past remedy
δύσκληρος	non favorisé du sort, malheureux,	unlucky
δύσκλητος	mal famé,	in bad repute
δύσκοιτος	qui se trouve mal à l'aise dans le lit,	making bed unpleasant
δύσκολπος	au sein mal conformé,	with luckless womb
δύσκοπος	difficile à écraser,	hard to bruise
δύσκρατος	mal tempéré, mal équilibré,	of bad temperament
δύσκτητος	difficile à acquérir,	hard to come by
δύσκωφος	tout à fait sourd,	hard of hearing
δύσλεκτος	difficile à dire, indicible,	hard to tell
δύσλυτος	difficile ou impossible à délier, indissoluble (lien)	indissoluble
δύσμηνις	malveillant, haineux,	wrathful
δύσμορος	malheureux, infortuné,	ill-fated
δύσμορφος	difforme, laid,	misshapen, ill-favoured
δύσμουσος	non chéri des muses,	unmusical
δύσνιπτος	difficile à effacer en lavant,	hard to wash out
δύσνιφος	tristement couvert de neige, neigeux,	snowed upon
δύσνοια	malveillance, hostilité,	disaffection, ill-will, malevolence
δύσνομος	contraire aux lois, illégal,	lawless, unrighteous
δύσνοος	malveillant, hostile,	ill-affected, disaffected
δύσνυμφος	malheureuse jeune femme,	ill-wedded or ill-betrothed
δύσογκος	très lourd,	overheavy, burdensome
δύσοδος	d'accès difficile, infranchissable,	hard to pass, scarce passable
δύσοιμος	dont le chemin est difficile, inaccessible,	a sad theme
δύσοιστος	difficile à supporter, intolérable,	hard to bear, insufferable
δύσοπτος	difficile à voir, obscur, 	hard to detect
δύσπαρις	@	unhappy Paris, Paris of ill omen
δύσπαυστος	difficile à calmer,	hard to stop or appease
δύσπειστος	difficile à persuader,	hard to persuade, opinionated
δύσπεμπτος	difficile à renvoyer,	hard to banish
δύσπλανος	qui erre misérablement,	wandering in misery
δύσπλοος	dangereux aux navigateurs,	dangerous for ships
δύσπλυτος	difficile à laver,	hard to wash clean
δύσπνοια	difficulté pour respirer, respiration courte,	difficulty of breathing, shortness of breath
δύσπονος	fatigant, pénible,	toilsome
δύσπορος	difficile à traverser, 	scarcely passable
δύσποτμος	infortuné, malheureux,	unlucky, ill-starred
δύσποτος	difficile à boire,	unpalatable
δύσπρατος	difficile à vendre,	hard to sell
δύσπριστος	difficile à scier,	hard to saw through
δύσρευστος	qui coule difficilement,	hardly flowing
δύσρηκτος	see <lang="grc">δυσραγής</grc>	hard to break through
δύσριγος	très frileux,	impatient of cold, sensitive to cold
δύσροια	cours malheureux des événements,	bad circulation
δύσροος	qui coule avec peine,	sluggish
δύσσηπτος	qui se corrompt difficilement,	not easily rotting
δύσσοος	difficile à sauver, à préserver,	hard to save, ruined
δύστακτος	difficile à arranger,	ill-regulated, disordered
δύστεκνος	malheureux par les enfants,	unfortunate in one's children
δύστηκτος	qui fond difficilement,	hard to melt
δύστλητος	difficile à supporter,	hard to bear
δύστοκος	enfanté pour le malheur, funeste,	born for mischief
δύστομος	qui a la bouche dure,	@
δύστομος1	qui a la bouche dure,	@
δύστομος2	difficile à couper,	@
δύστονος	lamentable,	lamentable, grievous
δύστριπτος	difficile à broyer,	hard to bruise or grind
δύστροπος	d'un caractère difficile, intraitable,	ill-conditioned, surly, peevish
δύστροφος	difficile à nourrir, qui vient mal,	hard to rear
δύστρωτος	difficile à blesser, à atteindre,	hard to injure
δύσυδρος	où l'eau est rare,	scant of water
δύσυπνος	qui a de la peine à dormir,	sleeping badly
δύσφευκτος	difficile à éviter,	hard to be avoided
δύσφθαρτος	qui se gâte difficilement,	hard to destroy
δύσφθογγος	difficile à prononcer,	hard-sounding
δύσφωνος	à la voix ou au son désagréable,	ill-sounding, harsh
δύσχιστος	difficile à fendre,	hard to split
δύσχορτος	qui manque de fourrage, stérile, pauvre,	with little grass or food
δύσχρηστος	dont il est difficile de se servir,	hard to use, inconvenient
δύσχροια	mauvaise couleur,	bad colour
δύσχρως	see <lang="grc">δύσχροος</grc>	of a bad colour, discoloured
δύσχυλος	de saveur désagréable,	with bad juices, ill-savoured
δύσχυμος	de saveur (de suc) désagréable,	ill-savoured
δύτης	plongeur,	diver
δώρημα	don, présent,	gift, present
δώσων	@	always going to give, always promising
δώτωρ	see <lang="grc">δωτήρ</grc>	giver
δᾳδίς	jour des torches, fête aux flambeaux,	a torch-feast
δᾳδοκοπέω	inciser le tronc d'un pin pour en extraire la résine ;	cut out the resin-glut
δᾳδουργός	résinier,	one who cuts pines for torches
δᾳδουχία	action de tenir une torche,	torch-bearing
δᾳδοφόρος	qui porte une torche ou un flambeau (la nuit),	torch-bearing
δᾳδώδης	résineux,	resinous
δᾴδινος	de pin résineux,	of pine wood
δᾴδωσις	le fait de devenir résineux,	the disease of resin-glut
δᾶ	probablement exclamation d'horreur : hélas ! ô terre... ; terre !	by earth
δῆγμα	morsure,	bite, sting
δῆλος	@	@
δῆμος	@	district, country, land
δῆρις	lutte, combat,	battle, contest
δῆτα	oui certes, oui en vérité,	aye
δῖνος	@	whirling, rotation
δῖος	@	@
δῶ	maison ;	house, dwelling
εἰ	si,	@
εἰάζω	crier encourager,	cry
εἰαροτερπής	que charme le printemps,	joying in spring
εἰαρόμασθος	au sein printanier, au jeune sein,	with youthful breasts
εἰδέχθεια	laideur,	odious, ugly look
εἰδήμων	savant, instruit de,	acquainted with or expert in
εἰδαίνομαι	ressembler à,	to be like
εἰδητικός	qui concerne la connaissance,	constituting an
εἰδοί	les ides,	Tab.Defix. Aud.
εἰδοποίημα	see <lang="grc">εἰδοποιΐα</grc>	copy of an
εἰδοποίησις	see <lang="grc">εἰδοποιΐα</grc>	construction of a typical form
εἰδοποιός	qui constitue une espèce, spécifique,	constituting a species, specific
εἰδοφορέω	offrir l'aspect de, représenter,	represent or express
εἰδωλεῖον	temple d'idoles,	idol's temple
εἰδωλικός	qui concerne les idoles, idolâtre,	symbolical
εἰδωλολάτρης	idolâtre,	idol-worshipper, idolater
εἰδωλοπλαστέω	représenter sous forme d'image,	form, model
εἰδωλοποίησις	action de se représenter, de se figurer,	formation of mental images
εἰδωλοποιητικός	see <lang="grc">εἰδωλοποιϊκός</grc>	calling up phantasms
εἰδωλοποιός	qui crée des images,	image-maker
εἰδωλοφανής	qui apparaît comme une image, semblable à une image,	like an image
εἰδωλοχαρής	qui se plaît au culte des idoles,	delighting in images
εἰδωλόπλαστος	de forme imaginaire,	modelled
εἰδότως	sciemment, avec connaissance,	knowingly
εἰθισμένως	d'une manière habituelle,	in the accustomed manner
εἰκαδισταί	qui célèbrent le 20e~jour (du mois de Gamèliôn, en l'honneur d'Épicure)	on the twentieth
εἰκαιολογία	langage irréfléchi,	random talking
εἰκαιολόγος	qui parle sans réfléchir,	talking at random
εἰκαιοσύνη	irréflexion, légèreté,	thoughtlessness
εἰκασμός	conjecture,	conjecturing, guessing
εἰκαστής	qui conjecture,	one who conjectures, diviner
εἰκαστός	comparable à,	comparable, similar
εἰκελόνειρος	qui ressemble à un songe,	dream-like
εἰκελόφωνος	qui ressemble par la voix à,	of like voice
εἰκονίζω	représenter, figurer,	copy
εἰκονισμός	see <lang="grc">εἰκόνισμα</grc>	delineation, description
εἰκονογράφος	peintre ou dessinateur de portraits,	portraitpainter
εἰκονογραφέω	représenter, décrire,	depict
εἰκονογραφία	peinture ou dessin de portraits, image,	sketch, description
εἰκονολογία	langage figuré,	figurative speaking
εἰκονοποιός	statuaire,	portrait-sculptor
εἰκονόμορφος	qui façonne des images, statuaire,	portraitsculptor
εἰκοσάγωνος	à vingt angles ou côtés,	having twenty angles
εἰκοσάεδρος	à vingt faces,	of twenty surfaces
εἰκοσάκις	vingt fois,	twenty times
εἰκοσάμηνος	de vingt mois,	twenty months old
εἰκοσάς	vingtaine, le nombre vingt,	score
εἰκοσήρης	à vingt rangs de rames,	with twenty banks of oars
εἰκοσίκλινος	à vingt lits de table,	with twenty places at table
εἰκοσίπηχυς	see <lang="grc">εἰκοσάπηχυς</grc>	of twenty cubits
εἰκοσαετής	de vingt ans,	of twenty years
εἰκοσαετία	durée ou âge de vingt ans,	period of twenty years
εἰκοσαετηρίς	période de vingt ans,	period of twenty years
εἰκοσαμναῖος	qui lance un poids de vingt mines,	weighing twenty minae
εἰκοσαπλασίων	see <lang="grc">εἰκοσαπλάσιος</grc>	twentyfold
εἰκοσαστάδιος	de vingt stades,	of twenty stadia
εἰκοσιέξ	vingt-six,	six and twenty, Vit.Eur.
