TargetWord	LemmaWord	lsj (Liddell, Scott, Jones)
λοετρόν	λουτρόν	bath, bathing-place
λοιδόρως	λοίδορος	railing, abusive
λοιμικῶς	λοιμικός	pestilential
λοισθήϊος	λοισθήιος	of or for the last
λοξῶς	λοξός	slanting, crosswise
λοξῶς	λοξόω	make slanting, cast sideways
λουτροδάϊκτος	λουτροδάικτος	slain in the bath
λοφιή	λοφιά	mane or bristly ridge
λοχῖτις ἐκκλησία	ἐκκλησία	assembly duly summoned
λοῦνται	λούω	l[acaron]vo
λυγιξεῖν	λυγίζω	bend or twist as one does a withe
λυγρῶς	λυγρός	baneful, mournful
λυκιουργής	Λυκιοεργής	of Lycian workmanship
λυκῆ	λυκέη	wolf's-skin
λυπρῶς	λυπρός	distressful, wretched, poor
λυροποιϊκή	λυροποιικός	the art or craft of lyremaking
λυρῳδός	λυραοιδός	one who sings to the lyre
λυσιμάχη	λυσίμαχος	ending strife
λυτήριον	λυτήριος	loosing, delivering
λυτῶς	λυτός	that may be untied
λυχνίας λίθος	λυχνία	lampstand
λυχνίας λίθος	λίθος	stone
λυχνοκαΐα	λυχνοκαία	lighting of lamps, illumination
λωΐων	λωίων	o
λωμάτιον	λῶμα	hem, fringe, border
λωποδυσίου δίκη	δίκη	custom, usage
λωτίζω	λωτίζομαι	cull the best
λωτεῦντα	λωτόεις	overgrown with lotus
λωτεῦντα	λωτέω	play the flute
λωφέω	λωφάω	rest, give over
λωφήϊος	λωφήιος	relieving
λόε	λούω	l[acaron]vo
λόχια	λόχιος	of or belonging to child-birth
λόω	λάω2	seize, hold
λύα	λύη	dissolution, separation
λύθεν	λύω	loosen
λύθρος	λύθρον	defilement from blood, gore
λύρη	λύρα	lyre
λύτο	λύω	loosen
λύττα	λύσσα	rage, fury
λύττα	λυσσάω	to be raging
λύχνον	λύχνος	sno
λώϊστος	λωίων	o
λᾶς	λάω2	seize, hold
λῃστικῶς	λῃστικός	piratical
λῃστοσαλπιγκταί	λῃστοσαλπιγκτής	robbertrumpeter
λῃτουργέω	λειτουργέω	serve public offices at one's own cost
λῃτουργία	λειτουργία	public service
λῄδιον	ληίδιος	taken as booty, captive
λῄζομαι	ληίζομαι	seize, carry off as booty
λῇ	λάω2	seize, hold
λῇ	λάζομαι	seize, grasp
λῇς	λάω2	seize, hold
λῴων	λωίων	o
λῶντι	λάω2	seize, hold
λῶϊς	λάω2	seize, hold
λῷον	λωίων	o
λῷστος	λωίων	o
μάκαιρα	μάκαρ	blessed, happy
μάκιστος	μήκιστος	tallest
μάκων	μήκων	poppy
μάν	μήν	verily, truly
μάνδρη	μάνδρα	enclosed space
μάνη	μάνης	cup
μάνη	μῆνις	wrath
μάνη	μαίνομαι	rage, be furious
μάργαρον	μάργαρος	pearl-oyster
μάρτυρος	μάρτυς	witness
μάτα	μάτη	folly, fault
μάτα	μάτος	search
μάτα	ματάω	to be idle, dally
μάταν	μάτην	in vain
μάταν	μάτη	folly, fault
μάταν	ματάω	to be idle, dally
μάτηρ	μήτηρ	mother
μάττω	μάσσω	knead, press into a mould
μάττω	μαίομαι	seek after, seek for
μάχα	μάχη	battle, combat
μάχα	μαχάω	wish to fight
μέ	ἐγώ	I at least, for my part, indeed, for myself
μέγαθος	μέγεθος	greatness, magnitude
μέγιστος	μέγας	big
μέδεις	μέδω	protect, rule over
μέδων	μέδος	mead
μέδων	μέδω	protect, rule over
μέζων	μέγας	big
μέθεν	μεθίημι	set loose, let go
μέλε	μέλω	to be an object of care or thought
μέλει	μέλος	limb
μέλει	μέλω	to be an object of care or thought
μέλη	μέλος	limb
μέλιττα	μέλισσα	madhu-lih-
μέλιττα	μελίζω	dismember, cutin pieces
μέλομαι	μέλω	to be an object of care or thought
μέμηλα	μέλω	to be an object of care or thought
μέμναμαι	μιμνήσκω	remind, put in mind
μέσαυλον	μέσαυλος	the inner court, inside the
μέσσαυλος	μέσαυλος	the inner court, inside the
μέσσοι	μέσος	middle, in the middle
μέσσος	μέσος	middle, in the middle
μέτριον	μέτριος	within measure, moderate
μέτριον	μετρέω	measure
μήνιον	μηνίω	cherish wrath, be wroth against
μήσατο	μήδομαι	to be minded, intend
μήτι	μήτις	do I
μήτι	μῆτις	wisdom, skill, craft
μήτρη	μήτρα	womb
μίανθεν	μιαίνω	stain, dye
μίη	εἷς	one
μίμνεσκον	μίμνω	stay, stand fast
μίνθων	μίνθος	human ordure
μίνθων	μινθόω	besmear with dung
μίτρη	μίτρα	maiden's girdle
μαγειρικῶς	μαγειρικός	fit for a cook or cookery
μαγευτική	μαγευτικός	magical
μαζός	μαστός	b
μαθηματικῶς	μαθηματικός	fond of learning
μαιμώων	μαιμάω	to be very eager, quiver with eagerness
μακαρίως	μακάριος	blessed, happy
μακαριστῶς	μακαριστός	deemed or to be deemed happy
μακαριῶ	μακαρίζω	bless, deem or pronounce happy, congratulate
μακραγορία	μακρηγορία	long-windedness, tediousness
μακραύχενος	μακραύχην	long-necked, long
μακροθύμως	μακρόθυμος	long-suffering, patient
μακροτόνως	μακρότονος	far-stretching, long drawn out
μακρότατος	μακρός	long
μακρότερος	μακρός	long
μακρῷ	μακρός	long
μακύνω	μηκύνω	lengthen, prolong
μακών	μηκάομαι	bleat
μαλακίζω	μαλακίζομαι	to be softened or made effeminate, show weakness
μαλακιέω	μαλακίζομαι	to be softened or made effeminate, show weakness
μαλλοδέτης	μαλλόδετος	bound with wool
μαμμᾶν αἰτεῖν	μάμμη	mother
μαμμᾶν αἰτεῖν	μαμμᾶν	cry for food
μαμμᾶν αἰτεῖν	αἰτέω	ask, beg
μανίας	μανία	madness
μανίας	μανιάω	to be mad, rave
μανδραγορίτης οἶνος	μανδραγορίτης	flavoured with mandrake
μανδραγορίτης οἶνος	οἶνος	wine
μανικῶς	μανικός	of or for madness, mad
μανιωδῶς	μανιώδης	like madness
μαντήϊον	μαντεῖον	oracle
μαντευτική	μαντευτικός	of or for divination
μαντηΐη	μαντεία	prophetic power, power of divination, h. Merc.
μαντηΐη	μαντεῖος	oracular, prophetic
μαντικῶς	μαντικός	prophetic, oracular
μανῶς	μανός	loose or open in texture, rare
μανῶς	μανόω	make porous, loose
μαπέειν	μάρπτω	take hold of
μαραθρίτης οἶνος	οἶνος	wine
μαργαρῖτις λίθος	λίθος	stone
μαρκίατον μύρον	μύρον	sweet oil, unguent, perfume
μαρτυροποιΐα	μαρτυροποιία	testificatio
μαρτυροποιέομαι	μαρτυροποιέω	produce evidence
μαρύεται	μηρύομαι	draw up, furl
μασδός	μαστός	b
μαστίσδοιεν	μαστίζω	whip, flog
μαστιγέω	μαστιγόω	whip, flog
ματέω	ματάω	to be idle, dally
ματήρ	μήτηρ	mother
ματαΐζω	ματᾴζω	speak or work folly
ματαίως	μάταιος	vain, empty, idle
ματαίως	ματαιόω	bring to naught
ματιανὰ μῆλα	μῆλον1	sheep or goat
ματιανὰ μῆλα	μῆλον2	apple
ματτύης	ματτύη	a rich, highly-flavoured dish
μαχέομαι	μάχομαι	fight
μαχέομαι	συμμαχέω	to be an ally, to be in alliance
μαχέσομαι	μάχομαι	fight
μαχανά	μηχανή	contrivance
μαχατάς	μαχητής	fighter, warrior
μαχητικῶς	μαχητικός	fit for fighting
μαχοίατο	μάχομαι	fight
μαχοίατο	συμμαχέω	to be an ally, to be in alliance
μαχοῦμαι	μάχομαι	fight
μαχοῦμαι	συμμαχέω	to be an ally, to be in alliance
μαψιδίως	μαψίδιος	vain, false
μείζων	μέγας	big
μεγάλλιον μύρον	μύρον	sweet oil, unguent, perfume
μεγάλως	μέγας	big
μεγαλάνωρ	μεγαλήνωρ	high-souled
μεγαλανορία	μεγαληνορία	manliness, self-confidence
μεγαληγόρως	μεγαλήγορος	talking big, vaunting
μεγαλομερῶς	μεγαλομερής	consisting of large particles
μεγαλοπρεπέως	μεγαλοπρεπής	befitting a great man, magnificent
μεγαλοπρεπῶς	μεγαλοπρεπής	befitting a great man, magnificent
μεγαλοτίμως	μεγαλότιμος	greatly honoured
μεγαλουργής	μεγαλοεργής	performing great deeds
μεγαλουργία	μεγαλοεργία	great achievement
μεγαλοφρόνως	μεγαλόφρων	high-minded, generous
μεγαλοφυΐα	μεγαλοφυία	nobleness of nature
μεγαλοφυῶς	μεγαλοφυής	of noble nature
μεγαλοψύχως	μεγαλόψυχος	high-souled, generous
μεγαλωνύμως	μεγαλώνυμος	with a great name, giving glory
μεζόνως	μέγας	big
μεθέηκα	μεθίημι	set loose, let go
μεθέμεν	μεθίημι	set loose, let go
μεθαρμόττω	μεθαρμόζω	dispose differently, correct
μεθελεῖν	μεθαιρέω	catch in turn
μεθεῖλον	μεθαιρέω	catch in turn
μεθεῖμαι	μεθίημι	set loose, let go
μεθιέμεναι	μεθίημι	set loose, let go
μεθιᾶσι	μεθίημι	set loose, let go
μεθοδευτέος	μεθοδευτέον	one must conduct
μεθοδικώς	μεθοδικός	going to work by rule, methodical, systematic
μεθορία	μεθόριος	lying between as a boundary
μεθορμέω	μεθορμάομαι	rush in pursuit of, make a dash at
μεθύσης	μέθυσις	drunkenness
μεθύσης	μέθυσος	drunk with wine
μεθ᾽	μετά	in the midst of, among, between; along with; after, behind; according to
μειζόνως	μέγας	big
μειζότερος	μέγας	big
μειλίχια	μειλίχιος	gentle, soothing
μειλίχως	μείλιχος	gentle, kind
μειλικτήρια	μειλικτήριος	able to soothe
μειλιχίως	μειλίχιος	gentle, soothing
μειρακιωδῶς	μειρακιώδης	becoming a youth, youthful
μειωτικῶς	μειωτικός	lowering
μειόνως	μείων	lesser, less
μειότερος	μικρός	small, little
μελάνδρυα	μελάνδρυον	heart of oak
μελάνδρυα	μελάνδρυος	dark as the oak, dark-leaved
μελάνθιος πόα	πόα	grass
μελάνθιος πόα	ποιέω	make
μελήσει	ἐπιμελέομαι	take
μελήσει	μέλω	to be an object of care or thought
μελήσω	ἐπιμελέομαι	take
μελήσω	μέλω	to be an object of care or thought
μελίγαρυς	μελίγηρυς	sweet-voiced, melodious
μελίη	μελία	manna ash, Fraxinus Ornus
μελίκηρον	μελίκηρος	beeswax
μελίλωτος	μελίλωτον	melilot, Trigonella graeca
μελίξεται	μελίζω	dismember, cutin pieces
μελίσδω	μελίζω	dismember, cutin pieces
μελίτεια	μελίτειον	mead
μελίτειος οἶνος	οἶνος	wine
μελαγχολικῶς	μελαγχολικός	of atrabilious or melancholic temperament
μελαινίδες	μελαινίς	the black
μελαμψίθιος οἶνος	μελαμψίθιος	wine made from black
μελαμψίθιος οἶνος	οἶνος	wine
μελανέω	μελαίνω	blacken, make black
μελανεῦντα	μελαίνω	blacken, make black
μελανεῦσα	μελαίνω	blacken, make black
μελανθέα	μελανθής	colour) black, swarthy
μελανουρίς	μελάνουρος	black-tail, Oblata melanura
μελανόζυξ	μελάνοζυξ	black benched
μελεϊστί	μελειστί	limb from limb
μελιαδής	μελιηδής	honey-sweet
μελιχρῶς	μελιχρός	honey-sweetened
μελλώ	μέλλησις	being about to do, threatening to do
μεμάθηκα	μανθάνω	learn
μεμάποιεν	μάρπτω	take hold of
μεμέτρηκα	μετρέω	measure
μεμακυῖα	μηκάομαι	bleat
μεμετιμένος	μεθίημι	set loose, let go
μεμηκώς	μηκάομαι	bleat
μεμπτῶς	μεμπτός	blameworthy
μενεδάϊος	μενεδήιος	standing one's ground against the enemy, staunch
μενεδήϊος	μενεδήιος	standing one's ground against the enemy, staunch
μενοινέω	μενοινάω	desire eagerly
μενοινώω	μενοινάω	desire eagerly
μερίξας	μερίζω	divide, distribute
μερίσδω	μερίζω	divide, distribute
μερικῶς	μερικός	partial
μεριστῶς	μεριστός	divided
μεροπήϊος	μεροπήιος	human
μεσαυλικὸν κροῦμα	κροῦμα	beat, stroke
μεσεῦσα	μεσόω	to be in or at the middle
μεσοτείχιον	μεσοτείχιος	between the walls and outworks
μεσσήρης	μεσήρης	in the middle, midmost
μεσσηγύ	μεσηγύ	in the middle, between
μεσσηγύς	μεσηγύ	in the middle, between
μεσσοπαγής	μεσοπαγής	fixed up to the middle
μεσσότομος	μεσότομος	cut through the middle, split
μεσόγαια	μεσόγαιος	inland, in the heart of a country
μεσόγεια	μεσόγαιος	inland, in the heart of a country
μεσόγειος	μεσόγαιος	inland, in the heart of a country
μεσόσφαιρον	μεσόσφαιρος	of middle globular size, Peripl. M.Rubr.
μεσότοιχον	μεσότοιχος	party-wall
μετάλλητος	μετάλλατος	to be searched out
μετάλμενος	μεθάλλομαι	leap, rush upon
μετέειπον	μετεῖπον	speak among, address
μετέσπον	μεθέπω	pursue, follow after
μετέω	μέτειμι1	sum), to be among
μετέωρον	μετέωρος	raised from off the ground
μετήσεσθαι	μεθίημι	set loose, let go
μετίστημι	μεθίστημι	place in another way, change
μεταΐγδην	μεταίγδην	rushing after
μεταΐζω	μεταίζω	seat oneself with or beside
μεταγινώσκω	μεταγιγνώσκω	find out after
μετακλάω	μετακλαίω	weep afterwards or too late
μετακοιμίζω	μετακοιμίζομαι	change to a state of sleep, to be lulled to sleep
μεταληπτικῶς	μεταληπτικός	capable of partaking of
μεταλλήγω	μεταλήγω	leave off, cease from
μεταλλαγά	μεταλλαγή	change
μεταμίγνυμι	μεταμίσγω	mix among
μεταμφιέζω	μεταμφιάζω	change the dress
μεταναγιγνώσκω	μεταναγιγνώσκομαι	repent of
μεταπέτομαι	μεταπέταμαι	fly to another place, fly away
μετασσεύομαι	μετασεύομαι	go with or after
μεταστοιχί	μεταστοιχεί	all in a row
μετατροπά	μετατροπή	retribution
μεταφορικῶς	μεταφορικός	apt at metaphors
μεταῦτις	μεταῦθις	afterwards, thereupon
μετεισάμενος	μεταίζω	seat oneself with or beside
μετεντίθεμαι	μετεντίθημι	put into another place
μετεστεώς	μεθίστημι	place in another way, change
μετεόν	μέτειμι1	sum), to be among
μετεώρως	μετέωρος	raised from off the ground
μετοίκησις	μετοικία	change of abode, removal, migration
μετορμίζομαι	μεθορμίζω	remove from one anchorage to another
μετοχικῶς	μετοχικός	relating to a partnership
μετρίως	μέτριος	within measure, moderate
μετριοπαθῶς	μετριοπαθής	moderating one's passions
μετριόω	μετριάζω	to be moderate, keep measure
μετροποιΐα	μετροποιία	metrical composition
μετωνυμικῶς	μετωνυμικός	of or like metonymy
μετῆρα	μεταίρω	lift up and remove, shift
μεῦ	ἐγώ	I at least, for my part, indeed, for myself
μηδαμῇ	μηδαμός	not even one
μηδαμῶς	μηδαμός	not even one
μηδεμία	μηδείς	not one, not even one, nobody
μηδετέρως	μηδέτερος	neither of the two
μηλίτης οἶνος	μηλίτης	apple or quince
μηλίτης οἶνος	οἶνος	wine
μηλείη	μήλειος	of or belonging to a sheep
μηλονομεύς	μηλονόμης	shepherd or goatherd, herdsman
μηλονόμας	μηλονόμης	shepherd or goatherd, herdsman
μηνοειδῶς	μηνοειδής	crescent-shaped
μητιόων	μητιάω	meditate, deliberate
μητρικῶς	μητρικός	of a mother
μητρώϊος	μητρῷος	of a mother
μηχανέομαι	μηχανάομαι	make by art, construct, build
μηχανικῶς	μηχανικός	resourceful, inventive
μηχανοίατο	μηχανάομαι	make by art, construct, build
μιαιφόνως	μιαίφονος	bloodthirsty, murderous
μιαρῶς	μιαρός	stained
μικρολόγως	μικρολόγος	counting trifles, careful about trifles
μικροφυΐα	μικροφυία	low stature, low growth
μικροψύχως	μικρόψυχος	meanspirited
μικρόρραξ	μίκρορραξ	with small berries
μικτῶς	μικτός	mixed, blended
μιμητάς	μιμητής	imitator
μιμητάς	μιμητός	to be imitated or copied
μιμητικῶς	μιμητικός	able to imitate
μιμνῄσκω	μιμνήσκω	remind, put in mind
μινύθεσκον	μινύθω	lessen, curtail
μινύθεσκον	μινυθέω	reduce
μινύωρος	μινυώριος	short-lived
μιξόθηρος	μιξόθηρ	half-beast
μισητικῶς	μισητικός	inclined to hate
μισθωτική	μισθωτικός	of or for letting out
μισοΐδιος	μισοίδιος	hating one's own family
μισοπονήρως	μισοπόνηρος	hating knaves and knavery
μισόδουλος βοτάνη	βοτάνη	pasture
μισόδουλος βοτάνη	μισόδουλος	hating slaves
μιτροφόρος	μιτρηφόρος	wearing a
μνάσειεν	μιμνήσκω	remind, put in mind
μνάσκετο	μνάομαι	to be mindful of
μνάᾳ	μνάομαι	to be mindful of
μνέα	μνᾶ	mina
μναμοσύνα	μνημοσύνη	remembrance, memory
μνασιδωρέω	μνησιδωρέω	offer public thanksgiving
μναστήρ	μνηστήρ	wooer, suitor
μναστεύω	μνηστεύω	court, seek in marriage
μνημήϊον	μνημεῖον	memorial, remembrance, record
μνημήϊον	μνημήιον	bearing record
μνηματίτης λόγος	λόγος	computation, reckoning; account; reason; word
μνημονικῶς	μνημονικός	of or for remembrance
μνησάσκετο	μιμνήσκω	remind, put in mind
μνησαίατο	μιμνήσκω	remind, put in mind
μνηστή	μνηστός	wooed and won, wedded
μνωόμενος	μνάομαι	to be mindful of
μνᾶμα	μνῆμα	memorial, remembrance, record
μοί	ἐγώ	I at least, for my part, indeed, for myself
μοίρη	μοῖρα	part
μοίρη	μοιράω	share, divide, distribute
μογίομες	μογέω	toil, suffer
μογερῶς	μογερός	toiling, distressed, wretched
μοιραίως	μοιραῖος	of destiny
μοιρικῶς	μοιρικός	by degrees
μοιρογνωμόνιον ὄργανον	μοιρογνωμόνιον	pointer
μοιρογνωμόνιον ὄργανον	ὄργανον	instrument, implement, tool, for making or doing
μοιρογνωμόνιον ὄργανον	ὄργανος	working, forming
μοιρογνωμόνιον ὄργανον	ὀργαίνω	make angry, enrage
μοισαῖος	Μούσειος	of or belonging to the Muses
μοιχάομαι	μοιχάω	have dalliance with
μολεῖν	βλώσκω	go or come
μολοχίτης λίθος	λίθος	stone
μολοϐρίτης ὗς	ὗς	the wild swine
μολοῦμαι	βλώσκω	go or come
μολπᾶτις	μολπῆτις	she who sings and dances
μομφά	μομφή	blame, reproof
μονάμπυκος	μονάμπυξ	having one frontlet
μονάρχης	μοναρχέω	to be sovereign
μονίμως	μόνιμος	staying in one's place, stable
μοναδικῶς	μοναδικός	consisting of abstract units
μοναρχικῶς	μοναρχικός	monarchical
μοναστήριον	μοναστήριος	monastic
μοναχή	μοναχός	unique
μονηῒς ἀρχή	ἀρχή	beginning, origin
μονογαμίου ἐπιτίμιον	ἐπιτίμιον	value, price, or estimate of
μονογαμίου ἐπιτίμιον	ἐπιτίμιος	honourable
μονογενέα	μονογενής	the only member of a kin or kind
μονογενῶς	μονογενής	the only member of a kin or kind
μονοειδῶς	μονοειδής	one in kind, simple
μονομάτωρ	μονομήτωρ	bereft of a mother
μονομάχης	μονομαχέω	fight in single combat
μονομάχιον	μονομαχέω	fight in single combat
μονοπροσώπως	μονοπρόσωπος	with one face
μονοτρόπως	μονότροπος	living alone, solitary
μονοτόνως	μονότονος	of one tone
μονόζυξ	μόνοζυξ	yoked alone
μονόχαλος	μονόχηλος	solid-hoofed
μονόχορδον	μονόχορδος	with or of but one string
μονόψαφος	μονόψηφος	voting alone
μορίη	μορία	the sacred olives
μορμών	μορμώ	she-monster, bogey
μορφά	μορφή	form, shape
μορφάεις	μορφήεις	formed
μορφάεις	μορφάζω	gesticulate
μορφωτικῶς	μορφωτικός	giving shape, formative
μοσυλῖτις κασία	κασία	cassia, Cinnamomum iners
μουΐα	μουία	maggot
μουνάς	μονάς	solitary
μουναρχέω	μοναρχέω	to be sovereign
μουνερέτης	μονερέτης	one who rows singly
μουνογενής	μονογενής	the only member of a kin or kind
μουνοκέλης	μονοκέλης	single horse, riding-horse
μουνολέων	μονολέων	solitary
μουνομαχέω	μονομαχέω	fight in single combat
μουνομαχίη	μονομαχία	single combat
μουνοπάλης	μονοπάλη	simple wrestling
μουνοφυής	μονοφυής	single
μουνόκωλος	μονόκωλος	with but one leg
μουνόλιθος	μονόλιθος	made out of one stone
μουνόπους	μονόπους	one-footed
μουνόφθαλμος	μονόφθαλμος	one-eyed
μουνόω	μονόω	make single or solitary
μουνώψ	μονώψ	one-eyed
μουσίσδω	μουσίζω	sing or play
μουσομάντις	μουσόμαντις	of prophetic song
μουστάκια	μουστάκιον	mustacea
μοχλίον	μοχλέω	they strove to heave
μοῖσα	Μοῦσα	music, song
μοῦνος	μόνος	alone, solitary
μυΐδιον	μυίδιον	little mouse
μυΐσκη	μυίσκη	small sea-mussel
μυγαλέη	μυγαλῆ	shrewmouse, field-mouse
μυελόν	μυελός	marrow
μυθέαι	μυθέομαι	speak
μυθικῶς	μυθικός	mythic, legendary
μυθοποιΐα	μυθοποιία	making of fables, invention
μυθωδῶς	μυθώδης	legendary, fabulous
μυκατάς	μυκητής	bellower
μυκητίας σεισμός	μυκητίας	accompanied with roaring underground
μυκητίας σεισμός	σεισμός	shaking, shock
μυρίαρχος	μυριάρχης	commander of
μυρίνης οἶνος	μυρίνης	sweet wine
μυρίνης οἶνος	οἶνος	wine
μυρίως	μυρίος	numberless, countless, infinite
μυραππίδια	μυραππίδιον	scented pear
μυρμηκίας λίθος	μυρμηκίας	with wart-like lumps upon it
μυρμηκίας λίθος	λίθος	stone
μυρμηκίας λίθος	μυρμηκιάω	to be afflicted with warts
μυρμηκίτης λίθος	λίθος	stone
μυροπώλιον	μυροπωλέω	deal in scented oils
μυρρίτης λίθος	μυρρίτης	stone of the colour of myrtle-juice
μυρρίτης λίθος	λίθος	stone
μυρρινίτης οἶνος	οἶνος	wine
μυρσινοειδῶς	μυρσινοειδής	myrtle-like
μυρσινᾶτος οἶνος	οἶνος	wine
μυχόν	μυχός	innermost part, nook, corner
μυωπία	μυωπίας	shortsighted person
μυόχοδα	μυόχοδον	mouse-dung
μυόχοδος γέρων	γέρων	old man
μωροποιέομαι	μωροποιέω	deal foolishly
μωρῶς	μωρός	dull, sluggish
μόλω	βλώσκω	go or come
μόνως	μόνος	alone, solitary
μόνως	μονόω	make single or solitary
μόρε	μόρος	fate, destiny
μόσσυνος	μόσσυν	wooden house or tower
μύα	μυάω	compress the lips
μύκον	μυκάομαι	low, bellow
μύλλω	μύλλον	lip
μύλλω	μύλλος	Sciaena umbra
μύξον	μύζω	make the sound
μύρα	μύρον	sweet oil, unguent, perfume
μύριοι	μυρίος	numberless, countless, infinite
μύρομαι	μύρω	flow, trickle
μύρρινος	μύρσινος	of myrtle
μύσιν	μύσις	closing
μώνυχος	μῶνυξ	with a single
μᾶκος	μῆκος	length
μᾶλον	μῆλον2	apple
μᾶνις	μῆνις	wrath
μ᾽	ἐγώ	I at least, for my part, indeed, for myself
μῖλαξ	σμῖλαξ	holm-oak, Quercus Ilex
μῦρα	μύρω	flow, trickle
μῦρον	μύρω	flow, trickle
μῶρον	μωρός	dull, sluggish
μῶσα	Μοῦσα	music, song
μῶσα	μῶμαι	seek after, covet
μῶσθαι	μῶμαι	seek after, covet
νάρδον	νάρδος	spikenard, Nardostachys Jatamansi
νάρκα	νάρκη	numbness, deadness
νάρκα	ναρκάω	grow stiff or numb
νάσθη	ναίω1	dwell, abide
νάσσατο	ναίω1	dwell, abide
νάσσε	νάσσω	press, squeeze close, stamp down
νάσσε	ναίω1	dwell, abide
νάττω	νάσσω	press, squeeze close, stamp down
νάττω	ναίω1	dwell, abide
νάφθας	νάφθα	naphtha
νέας	ναῦς	ship
νέας	νέος	young, youthful
νέας	νεάω	plough up
νέες	ναῦς	ship
νέες	νέω	swim
νέες	νέω1	swim
νέες	νέω2	spin
νέες	νέω3	heap, pile up
νέηαι	νέομαι	go or come
νέηαι	νέω	swim
νέηαι	νέω3	heap, pile up
νέηαι	νεάω	plough up
νένημαι	νέω	swim
νένημαι	νέω3	heap, pile up
νένωμαι	νοέω	Excerpta e libris Herodiani
νέως	νέος	young, youthful
νέως	νεόω	renovate, change
νήση	νῆσις	spinning
νήϊον	νηιος	of or for a ship
νήϊον	νηέω	heap, pile up
νήϋτμος	νήυτμος	breathless
νίκα	νίκη	victory
νίκα	νικάω	conquer, prevail
νίκημι	νικάω	conquer, prevail
νίν	νιν	him, her
νίπτω	νίζω	wash the hands or feet
νίψ	νίφα	snow
ναίεσκον	ναίω1	dwell, abide
ναίεσκον	ναίω2	dwell, abide
ναμέρτεια	νημέρτεια	truth
ναρδίτης οἶνος	οἶνος	wine
ναρθηκία	ναρθηκιάω	beat with a
ναρκισσίτης λίθος	ναρκισσίτης	like the narcissus
ναρκισσίτης λίθος	λίθος	stone
ναρκωδέως	ναρκώδης	numb, torpid
νασῖτις	νησίτης	of, from, or belonging to an island
ναυήγιον	ναυάγιον	piece of wreckage
ναυήγιον	ναυαγέω	suffer shipwreck
ναυηγέω	ναυαγέω	suffer shipwreck
ναυηγίη	ναυαγία	shipwreck
ναυηγός	ναυαγός	shipwrecked
ναυλόχιον	ναυλοχέω	lie in a harbour or creek
ναυμάχης	ναυμαχέω	fight by sea
ναυτίη	ναυτία	seasickness
ναυτίη	ναυτιάω	suffer from seasickness or nausea
ναυτικῶς	ναυτικός	of or for a ship, seafaring, naval
ναυτιωδῶς	ναυτιώδης	nauseous, sickening
ναύσταθμος	ναύσταθμον	harbour, anchorage, roadstead
ναύτας	ναύτης	seaman, sailor
ναῖον	ναίω1	dwell, abide
ναῖον	ναίω2	dwell, abide
νείατος	νέατος	uttermost, lowest
νείκη	νεῖκος	quarrel, strife, feud
νείκη	νεικέω	quarrel, wrangle with
νεανικῶς	νεανικός	youthful
νεαρῶς	νεαρός	youthful
νειαίρη	νείαιρα	lower
νεικείεσκον	νεικέω	quarrel, wrangle with
νεικείω	νεικέω	quarrel, wrangle with
νεκρικῶς	νεκρικός	of or for the dead
νεκταρίτης οἶνος	νεκταρίτης	flavoured with
νεκταρίτης οἶνος	οἶνος	wine
νεμεσσάω	νεμεσάω	feel just resentment, to be wroth at undeserved good or bad fortune
νεοία	νεοίη	youthful passion
νεοσσοποιΐα	νεοσσοποιία	hatching
νεοττεία	νεοσσεία	nest-building
νεουργής	νεουργός	newmade, new
νεοχμῶς	νεοχμός	new
νεοχμῶς	νεοχμόω	make innovations
νευράς	νευρά	string or cord of sinew
νευρή	νευρά	string or cord of sinew
νευρίτης λίθος	νευρίτης	sinew-like
νευρίτης λίθος	λίθος	stone
νεφεληγερέτης	νεφεληγερέτα	cloud-gatherer
νεωτέρως	νέος	young, youthful
νεωτέρως	νεώτερος	younger
νεωτερικῶς	νεωτερικός	natural to a youth, youthful
νεωτεροποιΐα	νεωτεροποιία	revolutionary spirit
νεόδματος	νεόδμητος2	new-built
νεός	ναῦς	ship
νεότας	νεότης	youth
νεώς	ναός	temple
νεώς	ναῦς	ship
νεώσοικοι	νεώσοικος	dock
νεώτατα	νέος	young, youthful
νεϐρίτης λίθος	λίθος	stone
νεῆνις	νεᾶνις	girl, maiden
νεῖαι	νέος	young, youthful
νεῖαι	νέομαι	go or come
νεῖαι	νέω	swim
νεῖον	νέος	young, youthful
νεῖται	νέομαι	go or come
νεῖται	νέω	swim
νεῖται	νέω3	heap, pile up
νεῦμαι	νέομαι	go or come
νεῦμαι	νέω	swim
νεῦμαι	νέω3	heap, pile up
νηΐτης	νηίτης	of or belonging to a ship, consisting of ships
νηέομαι	νηέω	heap, pile up
νηκτικῶς	νηκτικός	able to swim
νηλειής	νηλής	pitiless, ruthless
νηλειῶς	νηλής	pitiless, ruthless
νημερτέως	νημερτής	unerring, infallible
νηοπόλος	ναοπόλος	dwelling or busied in a temple
νηπενθέως	νηπενθής	banishing pain and sorrow
νησιῶτις	νησιώτης	islander
νησοῦντι	νέω	swim
νησοῦντι	νέω2	spin
νηστική	νηστικός	of or for spinning
νηφάλεος	νηφαλέος	sanely
νηφαλέως	νηφαλέος	sanely
νηφαλίως	νηφάλιος	unmixed with wine
νηχέμεναι	νήχω	swim
νηῦς	ναῦς	ship
νικέω	νικάω	conquer, prevail
νικοστράτειος βότρυς	βότρυς	bunch of grapes
νικόλαον	νικόλαος	date
