<ανά>γνωστος	hard to read
καλλιεργία	good work
καλλικέλαδος	beautiful-sounding
καλλικέρας	with beautiful horns
καλλιλεξία	beauty of language
καλλιμάρτυς	one who gives good evidence
καλλιοπλία	possession of fine armour
καλλιούργημα	work of art
καλλιπρόβατος	with beautiful sheep
καλλιρρημονέω	speak beautifully
καλλιστάφυλος	with fine grapes
καλλιστρατεύω	win glory in war
καλλιστρούθια	fig
καλλιτεκνέω	have beautiful children
καλλιφωνέω	speak beautifully
καλλονάριον	broom, besom
καλλυντήριος	of or for beautifying
καλλυντής	sweeper, cleaner
καλλωπιστεία	beauty of style, poetica
καλλωσόν	callosum) rind of pork, crackling
καλοέργαστος	well-wrought
καλοήθης	well-disposed
καλοαγόραστος	well-bought, cheap
καλοβάτης	tight-rope walker
καλοεργέτις	doing good
καλοθέλεια	goodwill
καλοθελής	benevolent
καλοιώνιστος	of good omen
καλοκέραστος	well-mixed
καλοκοπέω	cut wood
καλοκἄγαθος	perfect gentleman
καλολάιγξ	beautiful pebble
καλοπέδιλα	wooden shoes
καλοπαίκτης	trapeze-artist
καλοπλόκος	one who plaits or weaves
καλοπρόσωπος	with fair face
καλοσχηματίζομαι	to be grouped in propitious lineation
καλοσύντυχος	sociable
καλοτίθηνος	well-reared
καλοτύπος	woodpecker
καλούφαντος	beautifully woven
καλυβεύς	cottager
καλυβός	chamber
καλυπτήριον	covering
καλυπτηρίζω	cover with tiles
καλυφή	submerged land
καλωνυμέομαι	to be in good repute, bear a good name
καλωπός	with beautiful eyes
καλόγηρος	venerable
καλόγηρυς	with a fine voice
καλόκαιρος	bonum tempus
καλόπους2	@
καλός2	beautiful
καλότροπος	well-mannered
καλόφυλλος	with beautiful leaves
καλύδριον	small cable
καλύπτης	tile
καλώνυμος	bearing a fair name
καμάσιον	shirt
καμάσσω	shake
καμίνιος	of or for a furnace
καμίνοθεν	from a furnace
καμίσιον	shirt
καμαρωτικός	used in vaulting
καμαρόω	furnish with a vault
καμασός	camasus.
καμασῆνες	fish
καματώδδης	toilsome, wearisome
καμηλάριος	camel-driver
καμηλάσιον	wages of camel-driver
καμηλάτης	camel-driver
καμηλασία	camel-driving
καμηλικός	of or for a camel
καμηλοκόμος	keeping camels
καμηλοτρόφος	camel-keeper
καμηλών	stable for camels
καμινίων	furnace-attendant
καμιναία	furnace
καμινευτικός	of or for a furnace
καμινογραφία	treatise on furnaces
καμινοκαύστης	one who heats a furnace or oven
καμματίδες	laurel leaves
καμπή1	winding
καμπαγών	boot
καμπανίζω	weigh
καμπεσίγουνος	bending the knees
καμπτροποιός	basket-maker
καμπτροφόρος	capsarius
καμπυλοσαλπιστής	horn-blower
καμπυλόομαι	become curved
καμπυλόπρυμνος	with rounded stern
καμπυλόρριν	hook-nosed
καμπύλλω	bend, crook
καμψάριος	capsarius
καμψίουρος	bending the tail
καμψός	crooked, bent
κανάβινος	of or for a block-figure
κανάσσω	pour with a gurgling sound
κανίας	little basket
καναβιουργός	maker of
καναχηδής	resounding
κανδήλη	candela, candle, torch
κανδαλιστής	acrobat
κανδύταλις	clothes-press
κανητοποιός	maker of reed-mats
κανηφορικός	of the
κανθάρεως	vine
κανθήλη	rush used for candle-wicks, Edict. Diocl.
κανθίαι	ass's dung
κανθαρίτης	wine from the vine
κανθαροποιός	maker of
κανθαρώδης	like a beetle
κανθαρώλεθρος	death-to-beetles
κανθηλικός	belonging to a pack-saddle
κανθώδης	curved
κανναβάριος	canabae) booth-keeper, stall-holder
κανναβίσκα	hempen shoes
κανονικάριος	collector of an Imperial tax
κανονιστέον	one must regulate
κανονιστικός	regulative
κανονωτός	furnished with cross-bars
κανυσῖνος	dress of Canusian wool
καπέτις	of the
καπήλη	steersman's seat, hold
καπήλτια	projecting piece at a ship's stern
καπίστριον	halter
καπαῖος	of the crib or manger
καπηλογείτων	attubernalis
καπηλοδύτης	tavern-haunter
καπνίτης	smoky
καπναύγης	smoke-observer, diviner
καπνείω	turn into smoke
καπνιαῖος	smoky
καπνιστέον	one must smoke, 'gas'
καπνιστήριον	vapour-bath
καπνοδόχος	receiving smoke
καπνοκορτυάζομαι	leap, frisk
καπνοποιός	making smoke, smoky
καπνοῦχος	chimney
καπνωτήριον	altar
καπνόμαντις	smoke-diviner
καπνόομαι	to be turned into smoke, burnt to ashes
καπρίολος	furcilla
καπροφάγος	eating boar's flesh
καπρών	pig-sty
καπρῴζομαι	rut
καπυρίδια	cakes
καπυρόομαι	become dry or parched
καπυρώδης	dry
καρανώ	goat
καρβατιών	engine
καρδιηβολέω	lay to heart
καρδικός	heart-shaped
καρδιοβολέομαι	to be stricken in heart, grieved
καρδιόδαιτος	feasting on
καρδιότης	praecordia
καρδιότρωτος	wounded in the heart
καρηκομόωντες	with hair on the head, long-haired
καριόω	kill
καρκάδων	the fee paid to Charon by the dead
καρκίνωσις	formation of a cancerous growth
καρκαρίς	load of timber
καρκινίας	crab-coloured gem
καρκινευτής	crab-catcher
καρκινοειδής	of the crab kind
καρκινόπους	crab-footed
καρκινόχειρες	with crab's claws for hands
καρνειάσιον	grove sacred to Apollo Carneus
καρνεονίκης	victor in the Carnean games
καροφόρος	soporiferous
καροῦχα	carruca, carriage
καρπάσιον	@
καρπίζω1	@
καρπίζω2	@
καρπισμός1	@
καρπισμός2	@
καρπιστικός	connected with emancipation
καρποδέσμιος	wearing a knee-halter
καρποδαιστάς	distributor of produce
καρπολογέω	gather fruit
καρπολόχος	bearing fruit
καρπωνία	fruit-buying, PLond.ined.
καρπόδεσμα	chains for the arms, armlets
καρπόδεσμος	bandage for wrist
καρπός	@
καρπύλη	Indian plant
καρπώδης	fruitful
καρπώνης	buyer of fruit
καρρίον	covinnus
καρρικός	sufficient to fill a wagon
καρτάλαμον	fiscella
καρτέον	one must shear
καρτεροπληγής	striking fiercely
καρτερόπονος	bearing labours stoutly
καρτερόφρων	stout-hearted
καρτός1	shorn smooth
καρυήματα	nuts
καρυερία	dicing for nuts
καρυηδόν	like a
καρυκοποιός	maker of a
καρυοβαφής	stained with walnut-juice
καρυοπώλης	nut-seller
καρυοωτὸς	date
καρυοώδης	like a walnut
καρυοῶτις	date
καρυόδενδρον	walnut-tree
καρφαμάτιον	rake for collecting fallen ears of corn
καρφεῖα	ripe fruit
καρφηρός	of dry straw
καρφισμός	gleaning
καρφώδης	full of
καρχήσιος	halyards of a ship
καρωτίδες	carotid arteries
καρωτόν	carrot
καρόκερκος	Head and Tail
κασίδιον	cassis, helmet
κασαυρεῖον	brothel
κασιγνητικός	brotherly or sisterly
κασιοβόρος	eating cassia
κασιωτικόν	boat used by the inhabitants of Kasion
κασιόπνους	breathing of cassia
κασκός	little finger
κασοποιός	maker of thick garments
κασσιτερουργός	tinker
κασσιτερᾶς	tinker
κασταναικόν	chestnut-grove
καστανικαί	chestnut-tree
καστορίδες	hounds
κασωρικὸς	brothel
κασωτός	thick
κασῆς	skin
κασῆς1	skin
κατά1	@
κατάβρεξις	soaking
κατάβροχος	inundated
κατάγαστρον	stomach-band
κατάγαστρος	gluttonous
κατάγγελσις	giving of information
κατάγελος	rich in herds
κατάγλυμμα	sculptured ornament
κατάγλυφος	carved
κατάγχω	strangle
κατάδοσις	instalment
κατάδουλος	slave
κατάζευγμα	cross-beams
κατάζωσμα	body of initiates wearing a special girdle
κατάθεος	godly
κατάθλιψις	pressing down
κατάθραυσις	breaking up
κατάθραυστος	broken in pieces
κατάκλαυσις	bewailing
κατάκλητος	specially summoned
κατάκλιτον	couch, chaise-longue
κατάκλυστρον	compluvium
κατάκνημος	thin-legged
κατάκτενος	carefully combed or dressed
κατάκτης	visitor, guest
κατάκτρια	spinning woman
κατάλεκτος	cataleclum
κατάλεπτον	petty cash', minor expenses
κατάλυπρος	sad
κατάμακτος	cast, moulded
κατάμαστρος	liable to condemnation
κατάμειξις	admixture
κατάμιτον	in a series, one after another
κατάμοιχος	adulterer
κατάντησις	recourse
κατάξυροι	embrasures
κατάξυσις	scraping
κατάξυσμα	scraping, filing
κατάπαις	puerarius
κατάπεισις	persuasion
κατάπλεος	quite full
κατάπλωσις	home-coming by sea
κατάπομα	drink
κατάπρεμνος	with many branches
κατάπριστος	sawn
κατάπτυσμα	putacilla
κατάπυρος	very red, deep red
κατάρακτοι	shutters
κατάραμα	curse
κατάρδευτος	irriguus
κατάρρειθρον	endoriguum
κατάρρησις	accusation
κατάρριν	hook-nosed
κατάρρυσις	flowing down
κατάρτισμα	finished product
κατάρχης	founder, creator
κατάσκευος	furnished
κατάσκληρος	very hard
κατάσπευσις	haste
κατάστειρος	barren
κατάστελμα	grain dropped
κατάστεψις	crowning
κατάστιγμα	point, spot
κατάστιξις	dotting
κατάστοργος	of love
κατάστρωσις	spreading, laying
κατάτονος	stretching down: depressed
κατάτροπος	steep
κατάφημος	infamous
κατάφλεβος	full of veins, vascular
κατάχρους	Arch.f.Relig.
κατάχρωσις	colouring
κατάψησις	raking over
κατάψυχος	opacus
κατέαξις	confractio
κατέγκλημα	accusation
κατέπαρσις	insertion
κατέπειξις	bustling, hurrying
κατέπεφνον	kill, slay
κατέργασμα	work, achievement
κατέρνης	with luxuriant branches
κατήρυδες	laden with fruit
κατία	compliance
καταίφλεξ	burning with heat
καταβάρησις	weighing down, oppression
καταβαθμός	descent
καταβαπτέον	one must dip
καταβαρβαρόω	make quite barbarous
καταβατέον	one must descend
καταβατεύω	tread or walk upon
καταβατός	descending, steep
καταβαφή	tincture
καταβαφής	soaked
καταβιβάσκω	trespass
καταβιβασμός	decrease
καταβιβαστέος	to be brought down
καταβλής	bolt
καταβλαβεύς	damager
καταβλητέον	one must sow
καταβολαῖον	storehouse
καταβολεύς	founder
καταβομβέω	to be deafened
καταβρίζω	fall asleep
καταβραδύνω	retard
καταβρεκτέον	one must drench
καταβροχίζω	tie up, ligature
καταβρόξειε	soil with gore
καταβρύω	to be overgrown
καταβυθισμός	sinking
καταβυσσόω	bury
καταβόλια	confectores
καταγέμω	to be full of
καταγαίδιοι	of the underworld
καταγγέλτης	informer
καταγγειόομαι	to be furnished with blood-vessels
καταγγισμός	packing
καταγελάσιμος	ridiculous
καταγεμίζω	load heavily
καταγεωμετρέω	geometrize, turn into geometry
καταγεωργέω	bring into tillage
καταγεώτης	grave-digger
καταγλυκαίνω	sweeten
καταγλύφω	scoop out, groove
καταγνάφω	lacerate
καταγνυπόομαι	to be weak
καταγνωστέον	one must condemn
καταγνωστικός	damnatory
καταγραπτέον	one must describe, draw
καταγρυπόω	curl the nose
καταγυψόω	plaster with gypsum
καταγωγεύς	cattle-drover
καταγωνιστικός	arguing for victory, polemical
καταγόραξις	buying up, purchase
καταγώγιος	returned
καταγώνισις	conquest
καταδέρω	flay
καταδαίω	burn up
καταδαπανητικός	tending to consume
καταδατέομαι	divide among themselves, tear and devour
καταδεής1	@
καταδεής2	@
καταδειμαίνω	fear
καταδεκτέον	one must accept
καταδερματόω	to be covered with hide
καταδεῖ	there is wanting
καταδηιόω	ravage, waste
καταδηλέομαι	injure, violate
καταδιήγησις	pure narrative
καταδιαφθείρω	squander
καταδικαστικός	condemnatory
καταδιφρεύω	throw down from a chariot
καταδιωκτικός	pursuing
καταδουλεύομαι	reduce to slavery
καταδουλισμός	enslavement
καταδροσίζω	drench
καταδρυφάσσω	hedge or fence in
καταδυστής	one who dips under
καταείσατο	had sped
καταζευγοτροφέω	squander money on teams of horses
καταζηλόω	create prejudice against
καταζοφόω	to be darkened
καταζωμεύω	sup up
καταζωστικός	of or for girding
καταζώστης	girth, strap
καταζῶ	live one's life out, live on
καταθαλαττόω	throw into the sea
καταθεατέον	one must observe
καταθεμελιόω	to be founded, based
καταθετέον	one must lay down
καταθνῄσκω	Nuova Silloge
καταθοινάω	feast upon
καταθρύπτω	break in pieces
καταθρῴσκω	leap down
καταθωρακίζομαι	wear protective armour
καταιέτια	raking
καταιγιδώδης	tempestuous
καταιδέομαι	feel shame or reverence before
καταισχρεύομαι	speak or act foully
κατακάρφω	parch up
κατακέραμα	sarta tecta
κατακαίνυμαι	to be adorned
κατακαίνω	kill
κατακαμαρόω	cover with a vault
κατακαρπόω	offer burnt-sacrifices
κατακαρφής	dried
κατακαχρύω	grind roasted corn
κατακαύσιμος	combustible
κατακεντίζω	slay with a spear
κατακεντρόομαι	to be furnished with spikes
κατακεράννυμι	mix, temper
κατακεραστέον	one must mix, temper
κατακεραυνόω	strike down by thunder
κατακερκίζω	divide into
κατακεφάλαιον	poll-tax
κατακεύθομαι	to be hidden
κατακισηρίζω	rub smooth with pumice-stone
κατακλάω2	@
κατακλητικός	for invoking
κατακλιτέον	one must cause to lie down, put to bed
κατακλύω	hear of
κατακλώθω	spin one's fate
κατακλῶθες	the Spinners
κατακναίω	wear out
κατακοίμησις	sleeping, lodging
κατακοιμητικός	of or for lulling to sleep
κατακοιμισμός	putting to sleep
κατακοιρανέω	govern
κατακολούω	cut short
κατακομάω	wear the hair long
κατακομπολακυθέω	boast loudly
κατακονδύλιστος	well cuffed
κατακορακόω	fasten up, close
κατακορμίζω	cut wood into logs or pieces
κατακοσμητέος	to be adorned
κατακοτταβίζω	squirt or throw wine over
κατακουστής	listener
κατακράτησις	subduing
κατακρέμαμαι	hang down, be suspended
κατακρατικός	fit for tempering
κατακρεμασμός	hanging down
κατακρημνιστής	one who throws headlong down
κατακριβόω	careful, precise
κατακριδεύω	chatter like a swarm of locusts
κατακροταλίζω	make a loud rattling noise
κατακρούω	knock
κατακρύβδην	in private, in secret
κατακτενίζω	comb, dress carefully
κατακτύπησις	making a noise at
κατακυμοτακής	melting the waves
κατακωκύω	wail, shriek loudly
κατακωμῳδέω	attack in comedy
κατακόπτης	cutter up
κατακόπωσις	wearying
κατακύλλωμα	a particular case of lameness
καταλέγω1	@
καταλέγω2	@
καταλέχομαι	lie down, go to bed
καταλίπαρος	very greasy
καταλαβεύς	holder, nail
καταλαγνεύομαι	to be very lewd
καταλαγχάνω	hold possession of
καταλακτίζω	inculco
καταλαλητέον	one must talk against
καταλαμπρύνω	make splendid
καταλγύνω	grieve very much
καταλείπω	leave behind
καταλείφω	besmear
καταλείψανον	remnant
καταλεαίνω	grind down
καταλειπτέον	one must leave behind
καταλεκτέον	one must reckon
καταλεύω1	@
καταληίζομαι	plunder
καταληκτέον	one must end
καταληπτέος	to be seized or occupied
καταληπτήρ	strap for holding fast
καταλιπαίνω	make very fat
καταλιφή	plastering, whitewashing
καταλιχμάζομαι	lick all over
καταλλάγδην	reciprocally
καταλοβεύς	cornice over a door
καταλογεῖον	record office
καταλοκίζω	cut into furrows
καταλουστικοί	members of a guild which performed ceremonial ablutions
καταλυμακόομαι	to be silted up
καταλυτήρ	arbitrator
καταλωφάω	rest from
καταλύμανσις	ravaging
καταμάκτης	one who wipes off
καταμάχησις	subduing, conquest
καταμάω	scrape up, heap up
καταμέλλω	procrastinate
καταμαίνομαι	do mad acts against
καταμαγγανεύω	subdue by sorceries
καταμαθηματικεύω	reduce to mathematical terms
καταμαθητέον	one must learn thoroughly, observe closely
καταμαθητικός	apt at learning
καταμαλθακίζομαι	to be enervated
καταμαντεία	divination
καταμαραίνω	cause to wither
καταμαργάω	to be stark mad, rave
καταμαρτύρομαι	bear witness against
καταμαστίζω	reverbero
καταμαστιγόω	scourge
καταματτεύομαι	to be tickled
καταμείβω	to be divided between
καταμείγνυμι	mix in, combine
καταμεγαλαυχέομαι	exalt oneself against
καταμεθύω	rave in drunken style against
καταμεικτέον	one must mix
καταμελαίνω	make black, darken
καταμεστόω	fill quite full of
καταμετρητέον	one must measure
καταμηνυτής	informer
καταμιαιφονέομαι	defile oneself with bloodshed
καταμιμέομαι	burlesque
καταμοιχεύω	seduce
καταμοσχεύω	propagate by suckers
καταμουσίζω	charm with song
καταμουσόω	embellish
καταμπυκόω	cover with a fillet
καταμυκτηρίζω	mock with upturned nose
καταμφιέννυμι	clothe completely, cover all round
καταμφικαλύπτω	put all round
καταμωραίνω	waste through folly
καταμόσχευσις	propagation by suckers
καταμύνω	ward off
κατανάθεμα	curse
κατανέμησις	pasturage
κατανέω1	@
κατανέω2	@
κατανήχομαι	swim down stream
κατανίπτης	washer
κατανίσταμαι	rise up against
καταναγιγνώσκω	read through
καταναγκαστικός	conclusive, cogent
καταναγραφέω	ordain duly
καταναιδεύομαι	behave impudently to
καταναλωτέον	one must expend
καταναρκάομαι	grow quite numb
κατανδρίζομαι	fight manfully against
κατανδρίζω	place on a list
κατανδραποδίζω	enslave
κατανδραφύσσω	slay
κατανείφω	snow all over, cover with snow
κατανεανιεύομαι	prevail over by youthful vigour
κατανεκρόω	kill
κατανεφόω	overcloud
κατανθίζομαι	to be decked with bright colours
κατανθρωπίζω	treat in a friendly manner
κατανθρωπισμός	hospitality, entertainment
κατανικάνδρα	she that subdues men
κατανοητέον	one must observe, learn
κατανομή	pasture
κατανομίζω	recognize
κατανοτίζω	bedew
κατανοτιαῖος	with south aspect
καταντητέον	one must have recourse
καταντλητέον	one must douche
καταντλητικός	of or for douching
κατανυκτικός	pricking at heart
κατανωτίδιος	on the back
καταξέσματα	chips, filings
καταξενόομαι	to be received as a guest, hospitably treated
καταξηραίνω	dry up
καταξιοπιστέομαι	demand implicit belief to the prejudice of
καταξοή	polishing, smoothing
καταξυσμός	scarification
καταξύλωσις	tignatio
καταξύω	scrape down
καταπάγιον	fixed payment
καταπάγιος	solidly built
καταπάλλομαι	dart down
καταπάομαι	gain possession of
καταπέρδομαι	break wind at
καταπέσημα	downfall
καταπαίω	strike hard
καταπαιγμός	mockery
καταπαιδεραστέω	waste in
καταπαιδεύω	chastise
καταπακτός	shutting downwards, trap
καταπαλλακεύω	make a concubine of
καταπαλταφέτης	artilleryman
καταπαλταφεσία	discharging of catapults, artillery practice
καταπανουργεύω	act villainously
καταπαραλλήλως	along a parallel of latitude
καταπαρμός	piercing, boring
καταπαρτέον	one must pierce
καταπασσαλεύω	nail down
καταπαστέον	one must sprinkle
καταπατάκτην	trap-door
καταπατητέος	to be trampled down
καταπαυστέον	one must stop, staunch
καταπαυστήριον	means of putting to rest
καταπαυστικός	causing to cease
καταπείθησις	persuasion
καταπείρω	insert
καταπεδάω	fetter, hamper
καταπεζομαχέω	conquer by land
καταπειράομαι	to be much tried
καταπειρατηρία	sounding-line
καταπελεκάω	hew with an axe
καταπελματόομαι	to be cobbled, clouted
καταπελτάζω	overrun with light-armed troops
καταπεμπτέος	to be sent down
καταπεπαίνω	ripen
καταπεπλανημένως	erroneously
καταπεπυκασμένως	covertly, slily
καταπερίειμι	surpass, have the advantage of
καταπερίξυσις	scarification
καταπεραίωσις	conclusion, close
καταπεριίστημι	surround
καταπεριπεφρονημένως	despisedly
καταπηγάζω	form a spring
καταπημαίνω	hurt, damage
καταπιέζω	compress
καταπιαίνω	fatten
καταπιστευτέον	one must trust
καταπλίσσομαι	to be tripped up
καταπλανάω	deceive, mislead, App.Prov.
καταπλαστέον	one must plaster
καταπληγία	panic fear
καταπληκτέον	one must
καταπλώω	@
καταπλώω1	@
καταπνίγω	choke, smother
καταποδίζω	obstruct, hamper
καταποιέω	depress
καταποικίλλω	deck with various colours or in divers modes, mottle
καταπολέμησις	subduing
καταπολεύω	revolve
καταπολιός	white-haired
καταπομπή	delivery, rendering
καταπομπός	one who conveys or delivers
καταπορίζω	remeo
καταπορθέω	ravage utterly
καταποστέλλω	send down
καταποτάομαι	fly down
καταποφαίνομαι	pronounce dogmatically
καταποχή	receipt
καταπραιδεύω	praeda) ravage
καταπρατικόν	tax on sales
καταπραύνσις	placation
καταπροίεμαι	throw away, abandon
καταπροβάλλω	prostrate
καταπρολείπω	forsake utterly
καταπροτείνομαι	hold out as a pretence
καταπροχέω	pour down over
καταπτωτικός	liable to fits
καταπτύρομαι	to be terrified
καταπυγίζω	to be or act like a
καταπυγμομαχέω	conquer in boxing
καταπυκάζω	cover over
καταπυκνωτέον	one must fill up
καταπυκτεύω	conquer in boxing
καταπυρόω	dry
καταπόρφυρος	all-purple
καταπόσια	ludi Florales
καταπώγων	with a long beard
καταράσιμος	accursed
καταραχίζω	make a rough surface
καταργητέον	one must abolish, cancel
καταριθμητέον	one must count
καταρκής	fully sufficient
καταρνητικός	prone to deny or raise objections
καταρραίνω	besprinkle
καταρρακτικῶς	rushing down, swooping
καταρραντέον	one must besprinkle
καταρραπιστέον	one must strike
καταρραπτέον	one must stitch up
καταρρεμβεύω	lead astray
καταρριγέω	shudder greatly
καταρρικνόομαι	to be shrivelled
καταρριπτάζω	to be blown away, scattered
καταρροιβδέω	swallow up
καταρροιζέω	rush hurtling against
καταρροπή	weight of a hanging body
καταρροφάνω	gulp or swallow down
καταρρυπαίνω	defile, sully
καταρρυσόομαι	become wrinkled
καταρτεία	h
καταρχικός	pertaining to
κατασάρκωσις	plumpness
κατασάττω	stamp down
κατασήθω	strain through a sieve
κατασίνομαι	injure, damage
κατασαμινθεύω	throw into a bath
κατασβεστέον	one must quench
κατασειστέον	one must shake
κατασελγαίνω	to be libidinous
κατασημαίνομαι	cause to be sealed up
κατασιγαίνω	silence, calm
κατασιγαστικός	of or for silencing
κατασιδηρόω	plate with iron
κατασιλλαίνω	mock at
κατασιωπητέον	one must keep silence
κατασκέλλομαι	become a skeleton, wither away
κατασκέπασμα	covering
κατασκαίρω	bound up and down
κατασκεπαστέον	one must cover
κατασκεπαστός	covered
κατασκευάστρια	she who prepares
κατασκευασία	preparation
κατασκευαστέος	to be prepared or made
κατασκιρόομαι	become hard or dry
κατασκληραίνω	harden
κατασκληρύνομαι	become hard
κατασκόπευσις	reconnoitring
κατασκόπιον	look-out ship
κατασμώχομαι	rub in pieces, bruise
κατασπασμικός	curing
κατασπειράω	scattered, given out
κατασπιλάζω	spot, stain
κατασπορά	sowing
κατασπορεύς	sower
κατασπουδάζομαι	to be earnest, serious
κατασπουδαζόντως	eagerly
κατασπουδασμός	trouble, amazement
κατασταγμός	running at the nose
καταστατέον	one must appoint
καταστατόν	kind of cake
καταστεγνόομαι	to be closely covered
καταστεναχέω	mourn for
καταστενοχωρέω	drive into a narrow space
καταστεφάνωσις	crowning
καταστηλιτεύω	post up, publish
καταστηλόω	mark with pillars
καταστοιβάζω	packed, compressed
καταστοιχειόομαι	to be reduced to its elements
καταστομίζω	put to silence
καταστομίς	mouthpiece of a flute
καταστορέννυμι	spread, cover with
καταστοχέω	hit the mark
καταστοχαστέον	one must guess
καταστοχαστής	one who guesses
καταστρατεύω	take the field against, make war upon
καταστρατηγία	conquest by stratagem
καταστρεπτικῶς	so as to end
καταστροφεύς	one who ruins or spoils
καταστρωτέον	one must pave
καταστρωτήρ	pavement-slab
καταστρώννυμι	spread out
καταστρώτης	scansor
καταστυγνάζω	to be of sad countenance
καταστόμιον	mouth
κατασυγκρίνω	reduce
κατασυκοφαντέω	criticize captiously
κατασυνήθεια	customary gift
κατασυρίζω	to be subdued by an accompaniment of the syrinx
κατασφίγγω	bind tightly
κατασφαγή	slaughtering
κατασφαλίζομαι	fortify
κατασφηκόω	nail fast, fasten
κατασφηνόομαι	to be wedged, bound tight
κατασχαστέον	one must scarify
κατασχεθεῖν	hold back
κατασχετέος	to be held fast
κατασχετλιάζω	complain indignantly
κατασχιστέον	one must slit
κατασῴζω	restore
κατατάκερος	softened much
κατατέγγω	wet thoroughly
κατατέθηπα	to be astonished at
κατατέρπω	delight greatly
κατατίλλω	pull to pieces
καταταινιόω	bind with a
κατατακτέον	one must place, class
κατατακτικῶς	ordinate
καταταρταρτεταμένως	eagerly
κατατειχίζω	fortify
κατατελέω	contribute
κατατεταγμένως	in order
κατατετραίνω	bore through, perforate
κατατεχνέω	frame artificially
κατατεύχω	make, construct
κατατιμωρέω	punish, Tab.Defix. Aud.
κατατιτύσκομαι	aim at
κατατοιχογραφέω	write upon a wall
κατατορνεύω	turn
κατατρέπω	put to flight
κατατρίχιος	fine as a hair
κατατριδομέω	lay three layers of stones
κατατροχάζω	cause to run smoothly
κατατροχίζω	upset
κατατρυπάω	bore through
κατατυμβοχοέω	heap a funeral mound over
κατατύπτω	pound, crush
καταυαίνω	wither up
καταυθαδίζω	act or speak obstinately against
καταυτοί	by themselves
καταφάσκω	answer in the affirmative
καταφέγγω	illuminate
καταφαγεῖν	Gloss.:âdevour, eat up
καταφαντάζομαι	to be like
καταφευκτέον	one must fall back upon, have recourse to
καταφθάνω	fall upon unawares
καταφθέγγω	sound loudly
καταφθίω	ruin, destroy
καταφθατόομαι	take first possession of
καταφιμόω	conticisco
καταφλάω	press, crush
καταφλεξίπολις	inflamer of cities
καταφρονητέον	one must despise
καταφρυάττομαι	snort at
καταφρόνητος	despicable
καταφυγᾶς	runaway
καταφυτεία	planting
καταφωτισμός	illumination
καταφύω	implant, insert
καταχάσκω	gape, jeer at
καταχαράσσω	scratch all over
καταχειρόομαι	subject to oneself, conquer
καταχθίζομαι	to be hateful
καταχθονίζω	devote to the infernal gods, Tab. Defix.
καταχιονίζω	cover with snow
καταχλάω	let down
καταχλαινόω	clothe with a
καταχλευαστικός	derisive
καταχλιαστέον	one must warm thoroughly
καταχλοάζομαι	to be covered with green weed
καταχλυόομαι	to be dimmed
καταχορχρέομαι	make full use of, apply
καταχρίω	anoint, smear, coat
καταχραίνω	befoul
καταχρειόομαι	to be ill-treated
καταχρηματίζω	deal with
καταχρηματισμός	deed, instrument
καταχρηστέον	one must use
καταχριστέον	one must anoint
καταχρώννυμι	colour
καταχωρισμός	registration, deposit in a registry
καταχωριστέον	one must assign a place to
καταχόρευσις	song
καταχύδην	pouring down, profusely
καταχώνευσις	melting down
καταψάλλω	play stringed instruments to
καταψίω	crush, grind small
καταψελλίζομαι	to be made to lisp
καταψεύστης	commentor
καταψηφίζομαι	vote against or in condemnation of
καταψηφιστέον	one must condemn
καταύγασμα	radiance
καταύγεια	illumination, brightness
καταύλημα	residence
καταύστηρος	very harsh or morose
καταύω	destroy
κατεάσσω	break
κατεακτέος	perfringendus
κατεγγυεύω	give security
κατεγγυητικά	betrothal
κατεγγύησις	taking of pledges, sequestration
κατεγκονέω	to be in great haste
κατεδαφίζω	dash to earth
κατεζητημένως	in a farfetched, recondite style
κατεικονίζω	imaginor
κατειλητέον	one must wrap
κατειλωτισμένος	reduced to serfdom
κατεισέρχομαι	return
κατεισαγωγή	disparagement
κατεισαγωγεύς	magistrate's clerk
κατεκλύω	cause to relax in
κατεκτός	outside
κατεμβλέπω	look down upon, despise
κατενήνοθεν	covered
κατεναίρομαι	slay, murder
κατεναντιόω	in opposition to
κατενεχυράζω	pledge, pawn
κατενεχυρασία	pledging
κατενιαύσιος	annual
κατενισχύω	become firmly established
κατεντυγχάνω	seek an interview with
κατεξαγιάζω	assay
κατεξετάζω	decide, try
κατεξουσία	sovereignty, dominion
κατεπίκειμαι	lie, rest upon
κατεπίσταμαι	know fully
κατεπαίρομαι	to be arrogant towards
κατεπαγγελία	promise
κατεπεμβαίνω	overflow to its injury
κατεπιγάστριος	abdominal
κατεπιδέω	bandage afresh
κατεπιδείκνυμαι	show off before
κατεπιθύμιος	desirable
κατεπικύπτω	bow down upon
κατεποικοδομέω	build over or upon
κατεπτηχότως	in abject fear
κατερέθω	irritate, provoke
κατεργαστέον	one must promote digestion
κατεργολαβέω	exact tribute
κατερείδω	swoop down
κατερείπωσις	overthrow
κατερευνάω	lay bare, uncover
κατερεύγομαι	belch over or upon
κατερεύθω	make all red
κατεριθεύομαι	overcome by intrigue
κατερυθραίνομαι	turn red
κατερυκτικός	restraining, inhibiting, PMag. Lond.
κατερύκω	hold back, detain
κατεσπουδασμένως	earnestly
κατευθυντηρία	carpenter's line
κατευκτικός	entreating.
κατευκτός	vowed
κατευνάστρια	female chamberlain
κατευναστήρ	chamberlain
κατευπαθέω	waste in dissipation
κατευποιέω	do much good to
κατευρύνω	widen
