TargetWord	Language	LexClient	LemmaWord	lsj (Liddell, Scott, Jones)
Τελεσικλῆς	greek	no	Τελεσικλῆς	no
Τελευτία	greek	no	Τελευτίας	no
Τελευτίας	greek	no	Τελευτίας	no
Τελευταγόρας	greek	no	Τελευταγόρης	no
Τελεύτας	greek	yes	τελευτάω	bring to pass, accomplish
Τελλίας	greek	no	Τελλίης	no
Τελλιάδαι	greek	no	Τελλιάδης	no
Τελμησσός	greek	no	Τελμησσός	no
Τελμισσεύς	greek	no	Τελμισσεύς	no
Τεμέση	greek	no	Τεμέση	no
Τεμενῖτις ἄκρα	greek	no	τεμενιτες	no
Τεμενῖτις ἄκρα	greek	yes	ἄκρα	highest or farthest point
Τεμενῖτις ἄκρα	greek	yes	ἄκρον	highest or farthest point
Τεμενῖτις ἄκρα	greek	yes	ἄκρος	at the farthest point or end
Τεμπίς	greek	no	Τεμπίς	no
Τενέα	greek	no	Τενέη	no
Τενέα	greek	no	Τενής	no
Τενέδιος	greek	no	Τενέδιος	no
Τενεάτης	greek	no	Τενεάτης	no
Τερέντιος	greek	no	Τερέντιος	no
Τεριναῖος	greek	no	Τεριναῖος	no
Τερμερεύς	greek	no	Τερμερεύς	no
Τερμησσός	greek	no	Τερμησσός	no
Τερπιάδης	greek	no	Τερπιάδης	no
Τερψίων	greek	no	Τερψίων	no
Τερψίων	greek	yes	τέρψις	enjoyment, delight
Τερψίων	greek	yes	τέρπω	delight, gladden, cheer
Τερψιχόρα	greek	no	Τερψιχόρη	no
Τερψιχόρα	greek	yes	τερψίχορος	enjoying the dance
Τετράμνηστος	greek	no	Τετράμνηστος	no
Τευθρανίδης	greek	no	Τευθρανίδης	no
Τευτίαπλος	greek	no	Τευτίαπλος	no
Τευταμίδης	greek	no	Τευταμίδης	no
Τεύθρας	greek	no	Τεύθρας	no
Τεύταμος	greek	no	Τεύταμος	no
Τεύταρος	greek	no	Τεύταρος	no
Τεῦκρος	greek	no	Τεῦκρος	no
Τηΰγετον	greek	yes	Ταύγετον	Mount Taygetus
Τηλίνης	greek	no	Τηλίνης	no
Τηλίνης	greek	no	τηλίνη	no
Τηλίνης	greek	yes	τήλινος	of fenugreek
Τηλεκλείδης	greek	no	Τηλεκλείδης	no
Τηλεκλῆς	greek	no	Τηλεκλέης	no
Τηλεφάνης	greek	no	Τηλεφάνης	no
Τηλεφίδης	greek	no	Τηλεφίδης	no
Τημνίτης	greek	no	Τημνίτης	no
Τηρίας	greek	no	Τηρίας	no
Τηρεύς	greek	no	Τηρεύς	no
Τιανός	greek	no	Τιανός	no
Τιαραντός	greek	no	Τιαραντός	no
Τιγράνης	greek	no	Τιγράνης	no
Τιγρανόκερτα	greek	no	Τιγρανόκερτα	no
Τιγρανόκερτα	greek	no	Τιγρανοκέρτα	no
Τιθορέα	greek	no	Τιθορέη	no
Τιθορέα	greek	no	Τιθόρεος	no
Τιθραύστης	greek	no	Τιθραύστης	no
Τιθύμαλος	greek	no	τιθύμαλος	no
Τιλαταῖοι	greek	no	Τιλαταῖος	no
Τιλφοῦσσα	greek	no	Τιλφοῦσσα	no
Τιλφωσσαίη Ἐρινύς	greek	yes	Ἐρινύς	the Erinys
Τιμάεσσα	greek	yes	τιμήεις	honoured, esteemed
Τιμάνδρα	greek	no	Τίμανδρα	no
Τιμάνθης	greek	no	Τιμάνθης	no
Τιμάνωρ	greek	no	Τιμάνωρ	no
Τιμάς	greek	yes	τιμή	worship, esteem, honour
Τιμήσιος	greek	no	Τιμήσιος	no
Τιμήσιος	greek	yes	τίμησις	holding valuable, honouring, esteeming
Τιμήσιος	greek	no	τιμήσιος	no
Τιμαία	greek	no	Τιμαία	no
Τιμαγένης	greek	no	Τιμαγένης	no
Τιμαγόρας	greek	no	Τιμαγόρης	no
Τιμαρέτη	greek	no	Τιμαρέτη	no
Τιμηγενίδης	greek	no	Τιμηγενίδης	no
Τιμησίας	greek	no	Τιμησίας	no
Τιμησίθεος	greek	no	Τιμησίθεος	no
Τιμοκλείδας	greek	no	Τιμοκλείδης	no
Τιμοκλῆς	greek	no	Τιμοκλέης	no
Τιμοκρέων	greek	no	Τιμοκρέων	no
Τιμολέων	greek	no	Τιμολέων	no
Τιμοσθένης	greek	no	Τιμοσθένης	no
Τιμοφάνης	greek	no	Τιμοφάνης	no
Τιμωνίδης	greek	no	Τιμωνίδης	no
Τιμόδημος	greek	no	Τιμόδημος	no
Τιμόθεος	greek	no	Τιμόθεος	no
Τιμόκλεια	greek	no	Τιμόκλεια	no
Τιμόκριτος	greek	no	Τιμόκριτος	no
Τιμόλαος	greek	no	Τιμόλαος	no
Τιμόμαχος	greek	no	Τιμόμαχος	no
Τιμόξεινος	greek	no	Τιμόξεινος	no
Τιμόξενος	greek	no	Τιμόξενος	no
Τιμόστρατος	greek	no	Τιμόστρατος	no
Τιμόχαρις	greek	no	Τιμόχαρις	no
Τιμώ	greek	no	Τιμώ	no
Τιμῶναξ	greek	no	Τιμώναξ	no
Τιρίστασις	greek	no	Τιρίστασις	no
Τιριδάτας	greek	no	Τιριδάτης	no
Τιρύνθιος	greek	no	Τιρύνθιος	no
Τισίας	greek	no	Τισίης	no
Τισίφονος	greek	no	Τισίφονος	no
Τισαίη ἄκρη	greek	yes	ἄκρα	highest or farthest point
Τισαίη ἄκρη	greek	yes	ἄκρις	hill-top, mountain peak
Τισαίη ἄκρη	greek	yes	ἄκρος	at the farthest point or end
Τισαμενός	greek	no	Τισαμενός	no
Τισσαφέρνης	greek	no	Τισσαφέρνης	no
Τιτάνη	greek	no	Τιτάνης	no
Τιτάνη	greek	no	τίτανις	no
Τιτάνιος	greek	no	τίτανις	no
Τιτάνιος	greek	no	Τιτάνιος	no
Τιτάνιος1	greek	no	τίτανις	no
Τιτάνιος1	greek	no	Τιτάνιος	no
Τιτάνιος2	greek	no	τίτανις	no
Τιτάνιος2	greek	no	Τιτάνιος	no
Τιτήν	greek	yes	Τιτάν	the Titans
Τιτίας	greek	no	Τιτίας	no
Τιτίνιος	greek	no	Τιτίνιος	no
Τιτακός	greek	no	Τιτακός	no
Τιτανιάς	greek	no	Τιτανιάς	no
Τιτηνίς	greek	no	Τιτανίς	no
Τιτυός	greek	no	Τιτυός	no
Τιτᾶνος	greek	yes	Τιτάν	the Titans
Τληπόλεμος	greek	no	Τληπόλεμος	no
Τλησιμένης	greek	no	Τλησιμένης	no
Τμώλιος	greek	no	Τμώλιος	no
Τολερῖνοι	greek	no	Τολερῖνος	no
Τολμίδης	greek	no	Τολμίδης	no
Τολοφώνιοι	greek	no	Τολοφώνιος	no
Τορωναῖος	greek	no	Τορωναῖος	no
Τορύλαος	greek	no	Τορύλαος	no
Τορώνη	greek	no	Τορώνη	no
Τουττία	greek	no	Τουττία	no
Τούλλιος	greek	no	Τούλλιος	no
Τοῦρνος	greek	no	Τοῦρνος	no
Τοῦσκλον	greek	no	Τούσκλον	no
Τοῦσκλον	greek	no	Τούσκλος	no
Τοῦσκλον	greek	no	Τοῦσκλον	no
Τράλλις	greek	no	Τράλλις	no
Τράσπιες	greek	no	Τρασπίης	no
Τρίκη	greek	no	Τρίκκη	no
Τρίκκη	greek	no	Τρίκκη	no
Τρίοπος κολώνα	greek	no	Τρίοψ	no
Τρίοπος κολώνα	greek	yes	κολώνη	hill, mound
Τρίοψ	greek	no	Τρίοψ	no
Τραγία	greek	no	Τραγίη	no
Τραλλεῖς	greek	yes	Τράλλεις	Tralles
Τραλλεῖς	greek	no	Τραλλεύς	no
Τραλλιανοί	greek	no	Τραλλιανός	no
Τραπεζούντιος	greek	no	Τραπεζούντιος	no
Τραπεζοῦς	greek	no	Τραπεζόεις	no
Τραπεζοῦς	greek	no	τραπεζώ	no
Τραπεζοῦς	greek	yes	τραπεζόω	offer
Τραυσοί	greek	no	Τραυσοί	no
Τραχίνιος	greek	no	Τραχίνιος	no
Τραχίνιος	greek	yes	Τραχίς	the people of T.
Τραῦος	greek	no	Τραῦος	no
Τρεϐελλικὸς οἶνος	greek	yes	οἶνος	wine
Τρεῖς κεφαλαί	greek	yes	τρεῖς	three
Τρεῖς κεφαλαί	greek	yes	κεφαλή	head
Τρεῖς κεφαλαί	greek	yes	τρέω	flee from fear, flee away
Τρητόν	greek	yes	Τρητός	perforated, with a hole in it
Τρητόν	greek	yes	τρητός	perforated, with a hole in it
Τρικάρανον	greek	yes	Τρικάρανος	the Three-headed
Τρικάρανον	greek	yes	τρικάρηνος	three-headed
Τρινάκριος	greek	no	Τρινάκριος	no
Τρινακίη	greek	no	Τρινάκιος	no
Τρινακρίς	greek	no	Τρινακρίς	no
Τριποδίσκος	greek	no	Τριποδίσκος	no
Τριποδίσκος	greek	no	τριποδίσκος	no
Τριπολιτικός	greek	no	τριπολιτικός	no
Τριτέαι	greek	yes	τριτάω	when three days old
Τριταία	greek	no	Τρίταια	no
Τριταία	greek	no	Τριταίευς	no
Τριταία	greek	yes	τριταῖος	on the third day
Τριτανταίχμης	greek	no	Τριτανταίχμης	no
Τριτογενής	greek	yes	Τριτογένεια	Trito-born
Τριτωνιὰς λίμνη	greek	yes	λίμνη	pool of standing water
Τριτωνιὰς λίμνη	greek	no	λιμνει	no
Τριτώ	greek	no	Τριτώ	no
Τριτώ	greek	no	τριτώ	no
Τριφάλης	greek	no	τριφάλης	no
Τριόπας	greek	no	Τριόπης	no
Τριόπιον	greek	no	Τριόπιον	no
Τροίαθεν	greek	no	Τροίαθεν	no
Τροίανδε	greek	no	Τροίανδε	no
Τροίζηνος	greek	no	Τροίζην	no
Τροίζηνος	greek	no	Τροίζηνος	no
Τροίη	greek	yes	Τροία	Troy
Τροίη	greek	yes	τρέω	flee from fear, flee away
Τροίηθεν	greek	no	Τροίαθεν	no
Τροίηνδε	greek	no	Τροίανδε	no
Τροιζήν	greek	no	Τροιζήν	no
Τροιζήνιος	greek	no	Τροιζήνιος	no
Τροιζηνία	greek	no	Τροιζήνιος	no
Τροιζηνίς	greek	no	Τροιζήνιος	no
Τροιζηνίς	greek	no	Τροιζηνίς	no
Τρομιλικὸς τυρός	greek	yes	τυρός	cheese
Τρυγαῖος	greek	no	Τρυγαῖος	no
Τρυφιόδωρος	greek	no	Τρυφιόδωρος	no
Τρωΐα	greek	yes	Τροία	Troy
Τρωΐα	greek	yes	Τρώιος	of Tros
Τρωΐα	greek	no	Τρωιός	no
Τρωΐαθεν	greek	yes	Τρωίαθεν	from Troy
Τρωΐλος	greek	no	Τρωΐλος	no
Τρωαί	greek	no	Τρωάς	no
Τρωϊκός	greek	yes	Τρωικός	Trojan
Τρόμης	greek	yes	τρομέω	tremble, quake, quiver
Τρύφη	greek	yes	τρύφος	that which is broken off, morsel, lump
Τρύφη	greek	yes	θρύπτω	break in pieces, break small
Τρύφη	greek	yes	τρυφάω	live softly, luxuriously, fare sumptuously
Τρύφων	greek	no	Τρύφων	no
Τρύφων	greek	yes	τρυφάω	live softly, luxuriously, fare sumptuously
Τρώτιλον	greek	no	Τρώτιλος	no
Τρώϊος	greek	yes	Τρώιος	of Tros
Τρώϊος	greek	no	Τρωιός	no
Τρῆρες	greek	no	Τρήρης	no
Τρῆχος	greek	no	Τρῆχος	no
Τρῳάς	greek	no	Τρῳάς	no
Τρῳάς	greek	no	Τρωιός	no
Τρῶες	greek	yes	Τρώς	Tros
Τρῷος	greek	yes	Τρώιος	of Tros
Τυανεύς	greek	no	Τυανεύς	no
Τυδείδης	greek	no	Τυδεΐδης	no
Τυνδάρειος	greek	no	Τυνδάρειος	no
Τυνδάρεως	greek	yes	Τυνδάρεος	Tyndareos
Τυνδαρίδης	greek	yes	Τυνδάρεος	Tyndareos
Τυνδαρίς	greek	yes	Τυνδάρεος	Tyndareos
Τυνδαρίς	greek	no	Τυνδαρίς	no
Τυραννίων	greek	no	Τυραννίων	no
Τυραννίων	greek	yes	τυραννεύω	to be a monarch, absolute ruler
Τυραννίων	greek	yes	τυραννιάω	smack of tyranny
Τυρρηνία	greek	no	Τυρρηνίη	no
Τυρρηνία	greek	no	Τυρρήνιος	no
Τυρρηνίς	greek	no	Τυρρηνίς	no
Τυρρηνοί	greek	yes	Τυρρηνός	Tyrrhenian
Τυρρηνοί	greek	yes	Τυρσηνός	Tyrrhenian, Etruscan
Τυρρηνός1	greek	yes	Τυρρηνός	Tyrrhenian
Τυρρηνός1	greek	yes	Τυρσηνός	Tyrrhenian, Etruscan
Τυρρηνός2	greek	yes	Τυρρηνός	Tyrrhenian
Τυρρηνός2	greek	yes	Τυρσηνός	Tyrrhenian, Etruscan
Τυρσηνία	greek	no	Τυρρήνιος	no
Τυρσηνίς	greek	no	Τυρσηνίς	no
Τυρσηνικός	greek	no	Τυρσηνικός	no
Τυρσηνικός	greek	yes	Τυρσηνός	Tyrrhenian, Etruscan
Τυρσηνοί	greek	yes	Τυρσηνός	Tyrrhenian, Etruscan
Τυρταῖος	greek	no	Τυρταῖος	no
Τυρόδιζα	greek	no	Τυρόδιζα	no
Τυρόεσσα	greek	yes	τυρόεις	cheesy, like cheese
Τυρώ	greek	no	Τυρώ	no
Τυρώ	greek	yes	τυρός	cheese
Τυφάων	greek	yes	Τυφῶν	Typhon
Τυφάων	greek	yes	τύφη	reed mace, Typha angustata
Τυφαονίς	greek	no	Τυφαονίς	no
Τυφώνιοι	greek	yes	Τυφώνιος	of Typhon
Τυχίος	greek	no	Τυχίος	no
Τυχαῖον	greek	yes	τυχαῖος	accidental
Τόλοφος	greek	no	Τόλοφος	no
Τόμυρις	greek	no	Τόμυρις	no
Τύλλιος	greek	no	Τύλλιος	no
Τύμνης	greek	no	Τύμνης	no
Τύρας	greek	no	Τύρη	no
Τύρας	greek	no	Τύρης	no
Τύρας	greek	no	τυρέω	no
Τύρης	greek	no	Τύρη	no
Τύρης	greek	no	Τύρης	no
Τύρης	greek	no	τυρέω	no
Τύρος	greek	no	Τύρος	no
Τύχων	greek	no	Τύχων	no
Τύχων	greek	no	τύχος	no
Τῆλος	greek	no	Τῆλος	no
Τῆλυς	greek	no	Τῆλυς	no
Τῆμνος	greek	no	Τῆμνος	no
Φάγρης	greek	no	Φάγρης	no
Φάεννος	greek	no	Φάεννος	no
Φάλαικος	greek	no	Φάλαικος	no
Φάλακρα	greek	yes	Φαλάκρα	bald bare hill
Φάλαννα	greek	no	Φάλαννα	no
Φάλαρις	greek	no	Φάλαρις	no
Φάληροι	greek	no	Φάληρος	no
Φάληρος	greek	no	Φάληρος	no
Φάναι	greek	no	Φάνης	no
Φάναι	greek	yes	φαίνω	bring to light, cause to appear
Φάναι	greek	yes	φημί	to declare, make known; say, speak
Φάνης	greek	no	Φάνης	no
Φάνης	greek	no	φάνης	no
Φάνης	greek	yes	φαίνω	bring to light, cause to appear
Φάνης	greek	no	φανάω	no
Φάραξ	greek	no	Φάραξ	no
Φάριος	greek	no	Φάρης	no
Φάριος	greek	no	Φᾶρις	no
Φάριος	greek	no	φάρος	no
Φάριος	greek	yes	φᾶρος	a large piece of cloth, web
Φάρσαλος	greek	no	Φάρσαλος	no
Φάσηλις	greek	no	Φάσηλις	no
Φάσων	greek	yes	φημί	to declare, make known; say, speak
Φάων	greek	no	Φάων	no
Φάϋλλος	greek	no	Φάϋλλος	no
Φέρεκλος	greek	no	Φέρεκλος	no
Φέρης	greek	no	Φέρης	no
Φέριστος	greek	no	φέριστος	no
Φέρουσα	greek	no	Φέρουσα	no
Φέρουσα	greek	yes	φέρω	bear or carry a load
Φέρων	greek	yes	φέρω	bear or carry a load
Φήγιον	greek	no	Φήγιος	no
Φήμιος	greek	no	Φήμιος	no
Φήμιος	greek	no	φήμιος	no
Φήμιος	greek	yes	φῆμις	speech, talk
Φίκιον ὄρος	greek	no	Φίκιον	no
Φίκιον ὄρος	greek	yes	ὄρος	mountain, hill
Φίλα	greek	no	Φίλα	no
Φίλα	greek	no	φῖλος	no
Φίλα	greek	yes	φίλος	beloved, dear
Φίλαι	greek	no	Φίλα	no
Φίλαι	greek	yes	φίλος	beloved, dear
Φίλαι	greek	yes	φιλέω	love, regard with affection
Φίλη	greek	no	φῖλος	no
Φίλη	greek	yes	φίλος	beloved, dear
Φίλη	greek	yes	φιλέω	love, regard with affection
Φίλιννα	greek	no	Φίλιννα	no
Φίλιννα	greek	no	φίλιννα	no
Φίλιπποι	greek	yes	Φίλιππος	fond of horses, horse-loving
Φίλιπποι	greek	yes	φίλιππος	fond of horses, horse-loving
Φίλιστος	greek	no	Φίλιστος	no
Φίλιστος	greek	yes	φίλτατος	one's nearest and dearest
Φίλλις	greek	no	Φίλλις	no
Φίλων	greek	no	Φίλων	no
Φίλων	greek	no	φίλων	no
Φίλων	greek	yes	φίλος	beloved, dear
Φίλων	greek	no	φιλόω	no
Φαέθουσα	greek	no	Φαέθουσα	no
Φαέθουσα	greek	yes	φαέθω	shine
Φαέθων	greek	yes	φαέθω	shine
Φαίακες	greek	yes	Φαίαξ	Phaeacian
Φαίακες	greek	yes	φαίαξ	Phaeacian
Φαίδρα	greek	no	Φαίδρη	no
Φαίδρα	greek	no	Φαῖδρας	no
Φαίδρα	greek	no	φαίδρα	no
Φαίδων	greek	no	Φαίδων	no
Φαίνιππος	greek	no	Φαίνιππος	no
Φαεινίς	greek	no	πηαεινις	no
Φαιδίμη	greek	no	Φαιδίμη	no
Φαιδίμη	greek	yes	φαίδιμος	shining, radiant, glistening
Φαιδρίας	greek	no	Φαιδρίης	no
Φαιδύμη	greek	no	Φαιδύμη	no
Φαινίς	greek	no	φαινίς	no
Φαιναρέτη	greek	no	Φαιναρέτη	no
Φαινιππίδης	greek	no	Φαινιππίδης	no
Φαινώ	greek	no	Φαινώ	no
Φαιστός	greek	no	Φαιστός	no
Φαιώ	greek	yes	φαιός	grey
Φαλάκραι	greek	yes	Φαλάκρα	bald bare hill
Φαλάκραι	greek	yes	φαλάκρα	bald bare hill
Φαλέας	greek	no	Φαλής	no
Φαλέριοι	greek	no	Φαλέριοι	no
Φαλαίκειον μέτρον	greek	yes	φαλαίκειον	used by the poet Phalaecus
Φαλαίκειον μέτρον	greek	yes	μέτρον	that by which anything is measured
Φαληρεύς	greek	no	Φαληρεύς	no
Φαληρεύς	greek	no	φαληρεύς	no
Φαληρικός	greek	no	Φαληρικός	no
Φαληρικός	greek	no	φαληρικός	no
Φαληροῖ	greek	no	Φαληροῖ	no
Φαληρόθεν	greek	no	Φαληρόθεν	no
Φαληρόνδε	greek	no	Φαληρόνδε	no
Φαλλήν	greek	no	Φαλλήν	no
Φαλῖνος	greek	no	Φαλῖνος	no
Φαναγόρας	greek	no	Φαναγόρης	no
Φανοκλῆς	greek	no	Φανοκλῆς	no
Φανοσθένης	greek	no	Φανοσθένης	no
Φαντίας	greek	no	Φαντίης	no
Φαντασίων	greek	yes	φάντασις	portents
Φαντασίων	greek	yes	φαντάζω	make visible, present to the eye or mind
Φαντασίων	greek	yes	φαντασιόω	bring images before the mind of
Φανόδημος	greek	no	Φανόδημος	no
Φανόμαχος	greek	no	Φανόμαχος	no
Φανόστρατος	greek	no	Φανόστρατος	no
Φανώ	greek	yes	Φανός	light, bright
Φανώ	greek	yes	φανός2	torch
Φανώ	greek	yes	φανός1	light, bright
Φαρέες	greek	no	Φαρίς	no
Φαρανδάτης	greek	no	Φαρανδάτης	no
Φαρισαῖος	greek	no	Φαρισαῖος	no
Φαρμάκεια	greek	no	Φαρμάκεια	no
Φαρμάκεια	greek	no	φαρμάκεια	no
Φαρμακεύτρια	greek	no	φαρμακεύτρια	no
Φαρμακοῦσσα	greek	yes	φαρμακόεις	poisoned
Φαρνάκης	greek	no	Φαρνάκη	no
Φαρνάκης	greek	no	Φαρνάκης	no
Φαρνάσπης	greek	no	Φαρνάσπης	no
Φαρναζάθρης	greek	no	Φαρναζάθρης	no
Φαρνούχης	greek	no	Φαρνούχης	no
Φαρνοῦχος	greek	no	Φαρνοῦχος	no
Φαρσάλιος	greek	no	Φαρσάλιος	no
Φαρϐαιθίτης νομός	greek	yes	νομός	place of pasturage
Φασηλίτης	greek	no	Φασηλίτης	no
Φαυσιάδης	greek	no	Φαυσιάδης	no
Φαῖα	greek	no	Φαία	no
Φαῖδρος	greek	no	Φαῖδρος	no
Φαῖστος	greek	no	Φαῖστος	no
Φείδας	greek	no	Φείδας	no
Φείδιππος	greek	no	Φείδιππος	no
Φεαί	greek	no	Φεαί	no
Φειά	greek	no	Φειά	no
Φειδίας	greek	no	Φειδίης	no
Φειδιππίδης	greek	no	Φειδιππίδης	no
Φειδωνίδης	greek	yes	φείδων	oil-can with a narrow neck, that lets only a little run out
Φειδωνίδης	greek	no	φειδωνίδης	no
Φειδώλας	greek	no	Φειδώλης	no
Φειδώνιος	greek	no	φειδώνιος	no
Φελλόποδες	greek	yes	φελλόπους	cork-footed
Φενεάτης	greek	no	Φενεάτης	no
Φενεός	greek	no	Φενεός	no
Φενεᾶτις	greek	no	Φενεᾶτις	no
Φεραί	greek	no	Φεραί	no
Φεραύλας	greek	no	Φεραύλας	no
Φεραῖος	greek	no	φεραῖος	no
Φεραῖος	greek	no	Φεραῖος	no
Φερεκλῆς	greek	no	Φερεκλέης	no
Φερεκράτης	greek	no	Φερεκράτης	no
Φερεκύδης	greek	no	Φερεκύδης	no
Φερενίκη	greek	no	Φερενίκη	no
Φερενδάτης	greek	no	Φερενδάτης	no
Φερετίμη	greek	no	Φερετίμη	no
Φερητιάδης	greek	no	Φερητιάδης	no
Φερρέφαττα	greek	no	Φερσέφασσα	no
Φερσέφασσα	greek	no	Φερσέφασσα	no
Φερσέφασσα	greek	no	Περσεφόνη	no
Φερσέφασσα	greek	no	φερσέφασσα	no
Φερσεφόνεια	greek	no	Περσεφόνη	no
Φερσεφόνεια	greek	no	φερσεφόνειος	no
Φερσεφόνειος	greek	no	φερσεφόνειος	no
Φερσεφόνη	greek	no	Φερσέφασσα	no
Φηγεύς	greek	no	Φηγεύς	no
Φημονόη	greek	no	Φημονόη	no
Φηρή	greek	no	Φηραί	no
Φηρή	greek	no	Φηρή	no
Φηραί	greek	no	Φηραί	no
Φηραί	greek	no	Φηρή	no
Φηρητιάδης	greek	no	Φηρητιάδης	no
Φθίη	greek	yes	φθία	to Phthia
Φθίη	greek	no	Φθῖος	no
Φθίη	greek	no	φθῖος	no
Φθίηνδε	greek	no	Φθίηνδε	no
Φθίηφι	greek	no	Φθίηφι	no
Φθίηφι	greek	yes	φθία	to Phthia
Φθίηφι	greek	no	Φθῖος	no
Φθίηφι	greek	no	φθῖος	no
Φθειρῶν ὄρος	greek	yes	φθείρ	louse
Φθειρῶν ὄρος	greek	yes	ὄρος	mountain, hill
Φθιάς	greek	no	Φθιῶτις	no
Φθιάς	greek	no	φθιάς	no
Φθιώτης	greek	no	Φθιώτης	no
Φθιώτης	greek	no	φθιώτης	no
Φθιῶτις	greek	no	Φθιῶτις	no
Φθῖος	greek	no	Φθῖος	no
Φθῖος	greek	no	φθῖος	no
Φιαλεύς	greek	no	Φιαλεύς	no
Φιγάλεια	greek	no	Φιγάλεια	no
Φιγαλεύς	greek	no	Φιγαλεύς	no
Φιδήνη	greek	no	Φιδήνη	no
Φιδεντία	greek	no	Φιδεντία	no
Φιλάγριος	greek	no	Φιλάγριος	no
Φιλάμμων	greek	no	Φιλάμμων	no
Φιλάων	greek	no	Φίλα	no
Φιλάων	greek	no	Φιλάων	no
Φιλάων	greek	no	Φιλής	no
Φιλάων	greek	yes	φίλος	beloved, dear
Φιλέας	greek	no	Φιλέας	no
Φιλέης	greek	no	Φιλέας	no
Φιλήσιος	greek	no	Φιλήσιος	no
Φιλήσιος	greek	yes	φίλησις	loving, affection
Φιλήσιος	greek	no	φιλήσιος	no
Φιλίππη	greek	yes	φιλιππέω	to be fond of horses
Φιλίσκος	greek	no	Φιλίσκος	no
Φιλίσκος	greek	no	φιλίσκος	no
Φιλίστη	greek	no	Φιλίστη	no
Φιλίστη	greek	yes	φίλτατος	one's nearest and dearest
Φιλαδέλφεια	greek	no	Φιλαδέλφεια	no
Φιλαδέλφεια	greek	no	φιλαδέλφεια	no
Φιλαινέτη	greek	no	Φιλαινέτη	no
Φιλαινίς	greek	no	Φιλαινίς	no
Φιλημάτιον	greek	no	φιλημάτιον	no
Φιλητάς	greek	yes	φιλητής	lover
Φιλητάς	greek	yes	φιλητός	to be loved, worthy of love
Φιλητορίδης	greek	no	Φιλητορίδης	no
Φιλιάδης	greek	no	Φιλιάδας	no
Φιλιππίδης	greek	no	Φιλιππίδης	no
Φιλιστίων	greek	no	Φιλιστίων	no
Φιλιστίων	greek	yes	φιλίστιον	cleavers, Galium Aparine
Φιλοίτιος	greek	no	Φιλοίτιος	no
Φιλοδίκης	greek	no	Φιλοδίκη	no
Φιλοδίκης	greek	yes	φιλοδικέω	to be fond of litigation
Φιλοδώρητος	greek	no	Φιλοδώρητος	no
Φιλοκλέων	greek	no	Φιλοκλέων	no
Φιλοκλῆς	greek	no	Φιλοκλέης	no
Φιλοκράτης	greek	no	Φιλοκράτης	no
Φιλοκτήμων	greek	no	Φιλοκτήμων	no
Φιλοκτήμων	greek	no	φιλοκτήμων	no
Φιλοκτήτης	greek	no	Φιλοκτήτης	no
Φιλομήλα	greek	no	Φιλομήλη	no
Φιλομήλα	greek	no	φιλομήλα	no
Φιλομήλη	greek	no	Φιλομήλη	no
Φιλομήλη	greek	no	φιλομήλα	no
Φιλομηλείδης	greek	no	Φιλομηλεΐδης	no
Φιλοξένη	greek	yes	φιλοξενέω	entertain hospitably
Φιλοποίμην	greek	no	Φιλοποίμην	no
Φιλουμένη	greek	yes	φιλέω	love, regard with affection
Φιλουμένη	greek	no	φιλόω	no
Φιλοχάρης	greek	no	Φιλοχάρης	no
Φιλοχαρίδας	greek	no	Φιλοχαρίδας	no
Φιλτραῖος	greek	no	φιλτραῖος	no
Φιλυρηΐς νῆσος	greek	no	Φιλυρηΐς	no
Φιλυρηΐς νῆσος	greek	yes	νῆσος	island
Φιλωνίδης	greek	no	Φιλωνίδης	no
Φιλόκυπρος	greek	no	Φιλόκυπρος	no
Φιλόνεικος	greek	no	φιλόνεικος	no
Φιλόνομος	greek	no	Φιλόνομος	no
Φιλόστρατος	greek	no	Φιλόστρατος	no
Φιλύλλιος	greek	no	Φιλύλλιος	no
Φιλύρη	greek	no	Φιλύρη	no
Φιλύρη	greek	yes	φιλύρα	lime tree, Tilia platyphyllos
Φιλώτας	greek	no	Φιλώτης	no
Φιλῖνος	greek	no	Φιλῖνος	no
Φινεύς	greek	no	Φινεύς	no
Φιντίας	greek	no	Φιντίης	no
Φλά	greek	no	Φλά	no
Φλάκκος	greek	no	Φλάκκος	no
Φλάμεν	greek	yes	φλάω	crush
Φλέγης	greek	yes	φλέγω	burn, burn up
Φλέγρη	greek	no	Φλέγρη	no
Φλέγων	greek	no	Φλέγων	no
Φλέγων	greek	yes	φλέγω	burn, burn up
Φλίας	greek	no	Φλίης	no
Φλαμίνειος ἱππόδρομος	greek	yes	ἱππόδρομος	chariot-road
Φλαμινία ὁδός	greek	no	Φλαμινία	no
Φλαμινία ὁδός	greek	yes	ὁδός1	way, road
Φλαμινία ὁδός	greek	yes	ὁδός2	way, road
Φλεγραῖος	greek	no	Φλεγραῖος	no
Φλεγραῖος1	greek	no	Φλεγραῖος	no
Φλεγραῖος2	greek	no	Φλεγραῖος	no
Φλεγύαι	greek	no	Φλέγυας	no
Φλεγύαι	greek	no	Φλεγύης	no
Φλεγύαι	greek	no	φλεγύης	no
Φλειώ	greek	no	φλειός	no
Φλιάσιος	greek	no	Φλιάσιος	no
Φλιάσιος	greek	no	Φλιοῦς	no
Φλιοῦς	greek	no	Φλιοῦς	no
Φλογίδας	greek	yes	φλογίς	piece of broiled flesh
Φλοιόν	greek	yes	φλοιός	bark
Φλοιώ	greek	yes	φλοιός	bark
